File_name,City,Population,Crime_type,Crime_count,Crime_category,Crime_year,City_size,County,State
OIBRS_CrimeData_2020.csv,Ada,5500,Burglary,2,property,2020,small,Hardin,Ohio
OIBRS_CrimeData_2020.csv,Ada,5500,Larceny,42,property,2020,small,Hardin,Ohio
OIBRS_CrimeData_2020.csv,Ada,5500,Motor vehicle theft,0,property,2020,small,Hardin,Ohio
OIBRS_CrimeData_2017.csv,Addyston,936,Murder,0,violent,2017,small,Hamilton,Ohio
OIBRS_CrimeData_2017.csv,Addyston,936,Rape,1,violent,2017,small,Hamilton,Ohio
OIBRS_CrimeData_2017.csv,Addyston,936,Robbery,0,violent,2017,small,Hamilton,Ohio
OIBRS_CrimeData_2017.csv,Addyston,936,Aggravated assault,2,violent,2017,small,Hamilton,Ohio
OIBRS_CrimeData_2017.csv,Addyston,936,Burglary,5,property,2017,small,Hamilton,Ohio
OIBRS_CrimeData_2017.csv,Addyston,936,Larceny,17,property,2017,small,Hamilton,Ohio
OIBRS_CrimeData_2017.csv,Addyston,936,Motor vehicle theft,1,property,2017,small,Hamilton,Ohio
OIBRS_CrimeData_2017.csv,Akron,197412,Murder,43,violent,2017,medium,Summit,Ohio
OIBRS_CrimeData_2017.csv,Akron,197412,Rape,243,violent,2017,medium,Summit,Ohio
OIBRS_CrimeData_2017.csv,Akron,197412,Robbery,401,violent,2017,medium,Summit,Ohio
OIBRS_CrimeData_2017.csv,Akron,197412,Aggravated assault,938,violent,2017,medium,Summit,Ohio
OIBRS_CrimeData_2017.csv,Akron,197412,Burglary,2365,property,2017,medium,Summit,Ohio
OIBRS_CrimeData_2017.csv,Akron,197412,Larceny,5754,property,2017,medium,Summit,Ohio
OIBRS_CrimeData_2017.csv,Akron,197412,Motor vehicle theft,836,property,2017,medium,Summit,Ohio
OIBRS_CrimeData_2018.csv,Akron,197690,Murder,38,violent,2018,medium,Summit,Ohio
OIBRS_CrimeData_2018.csv,Akron,197690,Rape,250,violent,2018,medium,Summit,Ohio
OIBRS_CrimeData_2018.csv,Akron,197690,Robbery,409,violent,2018,medium,Summit,Ohio
OIBRS_CrimeData_2018.csv,Akron,197690,Aggravated assault,1004,violent,2018,medium,Summit,Ohio
OIBRS_CrimeData_2018.csv,Akron,197690,Burglary,1917,property,2018,medium,Summit,Ohio
OIBRS_CrimeData_2018.csv,Akron,197690,Larceny,5891,property,2018,medium,Summit,Ohio
OIBRS_CrimeData_2018.csv,Akron,197690,Motor vehicle theft,904,property,2018,medium,Summit,Ohio
OIBRS_CrimeData_2019.csv,Akron,197882,Murder,36,violent,2019,medium,Summit,Ohio
OIBRS_CrimeData_2019.csv,Akron,197882,Rape,217,violent,2019,medium,Summit,Ohio
OIBRS_CrimeData_2019.csv,Akron,197882,Robbery,351,violent,2019,medium,Summit,Ohio
OIBRS_CrimeData_2019.csv,Akron,197882,Aggravated assault,1152,violent,2019,medium,Summit,Ohio
OIBRS_CrimeData_2019.csv,Akron,197882,Burglary,1819,property,2019,medium,Summit,Ohio
OIBRS_CrimeData_2019.csv,Akron,197882,Larceny,5497,property,2019,medium,Summit,Ohio
OIBRS_CrimeData_2019.csv,Akron,197882,Motor vehicle theft,742,property,2019,medium,Summit,Ohio
OIBRS_CrimeData_2020.csv,Akron,197433,Murder,50,violent,2020,medium,Summit,Ohio
OIBRS_CrimeData_2020.csv,Akron,197433,Rape,252,violent,2020,medium,Summit,Ohio
OIBRS_CrimeData_2020.csv,Akron,197433,Robbery,295,violent,2020,medium,Summit,Ohio
OIBRS_CrimeData_2020.csv,Akron,197433,Aggravated assault,1523,violent,2020,medium,Summit,Ohio
OIBRS_CrimeData_2020.csv,Akron,197433,Burglary,1710,property,2020,medium,Summit,Ohio
OIBRS_CrimeData_2020.csv,Akron,197433,Larceny,6117,property,2020,medium,Summit,Ohio
OIBRS_CrimeData_2020.csv,Akron,197433,Motor vehicle theft,1011,property,2020,medium,Summit,Ohio
OIBRS_CrimeData_2021.csv,Akron,195701,Murder,43,violent,2021,medium,Summit,Ohio
OIBRS_CrimeData_2021.csv,Akron,195701,Rape,206,violent,2021,medium,Summit,Ohio
OIBRS_CrimeData_2021.csv,Akron,195701,Robbery,246,violent,2021,medium,Summit,Ohio
OIBRS_CrimeData_2021.csv,Akron,195701,Aggravated assault,1400,violent,2021,medium,Summit,Ohio
OIBRS_CrimeData_2021.csv,Akron,195701,Burglary,1406,property,2021,medium,Summit,Ohio
OIBRS_CrimeData_2021.csv,Akron,195701,Larceny,4985,property,2021,medium,Summit,Ohio
OIBRS_CrimeData_2021.csv,Akron,195701,Motor vehicle theft,1179,property,2021,medium,Summit,Ohio
OIBRS_CrimeData_2022.csv,Akron,195701,Murder,43,violent,2022,medium,Summit,Ohio
OIBRS_CrimeData_2022.csv,Akron,195701,Rape,233,violent,2022,medium,Summit,Ohio
OIBRS_CrimeData_2022.csv,Akron,195701,Robbery,208,violent,2022,medium,Summit,Ohio
OIBRS_CrimeData_2022.csv,Akron,195701,Aggravated assault,1245,violent,2022,medium,Summit,Ohio
OIBRS_CrimeData_2022.csv,Akron,195701,Burglary,1134,property,2022,medium,Summit,Ohio
OIBRS_CrimeData_2022.csv,Akron,195701,Larceny,5186,property,2022,medium,Summit,Ohio
OIBRS_CrimeData_2022.csv,Akron,195701,Motor vehicle theft,1084,property,2022,medium,Summit,Ohio
OIBRS_CrimeData_2017.csv,Albany,899,Murder,0,violent,2017,small,Athens,Ohio
OIBRS_CrimeData_2017.csv,Albany,899,Rape,0,violent,2017,small,Athens,Ohio
OIBRS_CrimeData_2017.csv,Albany,899,Robbery,0,violent,2017,small,Athens,Ohio
OIBRS_CrimeData_2017.csv,Albany,899,Aggravated assault,0,violent,2017,small,Athens,Ohio
OIBRS_CrimeData_2017.csv,Albany,899,Burglary,3,property,2017,small,Athens,Ohio
OIBRS_CrimeData_2017.csv,Albany,899,Larceny,10,property,2017,small,Athens,Ohio
OIBRS_CrimeData_2017.csv,Albany,899,Motor vehicle theft,0,property,2017,small,Athens,Ohio
OIBRS_CrimeData_2018.csv,Albany,916,Murder,0,violent,2018,small,Athens,Ohio
OIBRS_CrimeData_2018.csv,Albany,916,Rape,0,violent,2018,small,Athens,Ohio
OIBRS_CrimeData_2018.csv,Albany,916,Robbery,0,violent,2018,small,Athens,Ohio
OIBRS_CrimeData_2018.csv,Albany,916,Aggravated assault,0,violent,2018,small,Athens,Ohio
OIBRS_CrimeData_2018.csv,Albany,916,Burglary,2,property,2018,small,Athens,Ohio
OIBRS_CrimeData_2018.csv,Albany,916,Larceny,12,property,2018,small,Athens,Ohio
OIBRS_CrimeData_2018.csv,Albany,916,Motor vehicle theft,0,property,2018,small,Athens,Ohio
OIBRS_CrimeData_2019.csv,Albany,908,Murder,0,violent,2019,small,Athens,Ohio
OIBRS_CrimeData_2019.csv,Albany,908,Rape,0,violent,2019,small,Athens,Ohio
OIBRS_CrimeData_2019.csv,Albany,908,Robbery,0,violent,2019,small,Athens,Ohio
OIBRS_CrimeData_2019.csv,Albany,908,Aggravated assault,0,violent,2019,small,Athens,Ohio
OIBRS_CrimeData_2019.csv,Albany,908,Burglary,3,property,2019,small,Athens,Ohio
OIBRS_CrimeData_2019.csv,Albany,908,Larceny,10,property,2019,small,Athens,Ohio
OIBRS_CrimeData_2019.csv,Albany,908,Motor vehicle theft,0,property,2019,small,Athens,Ohio
OIBRS_CrimeData_2017.csv,Alliance,21838,Murder,0,violent,2017,small,Stark,Ohio
OIBRS_CrimeData_2017.csv,Alliance,21838,Rape,17,violent,2017,small,Stark,Ohio
