Crimes Reported by City  Township  Village Police Departments for 2017,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Garrettsville,2321,0,0,0,0,0,22,1,19,2
Geneva-On-The-Lake,1199,15,1,3,2,9,39,10,27,2
Genoa,2276,1,0,0,0,1,8,2,6,0
Georgetown,4356,10,0,6,3,1,112,23,87,2
German Township (Montgomery),2876,2,0,0,0,2,22,7,12,3
Germantown,5477,6,0,3,2,1,80,16,59,5
Girard,9406,25,1,1,4,19,261,57,192,12
Glendale,2157,0,0,0,0,0,11,3,8,0
Glenwillow,923,0,0,0,0,0,3,0,3,0
Glouster,1793,3,0,1,0,2,34,9,23,2
Goshen Township (Clermont),15860,11,3,6,1,1,177,32,127,18
Goshen Township (Mahoning),3072,6,0,2,0,4,62,7,50,5
Granville,5787,0,0,0,0,0,45,6,37,2
Gratis ,855,0,0,0,0,0,8,1,6,1
Green Township,58853,54,0,15,19,20,1261,224,977,60
Greenfield,4582,13,3,3,2,5,110,28,58,24
Greenhills,3584,2,0,0,0,2,45,6,38,1
Grove City,40421,50,4,17,24,5,1377,112,1209,56
Groveport,5583,14,0,4,7,3,208,32,161,15
Hamilton,62094,336,3,90,112,131,2822,723,1948,151
Hamilton Township (Warren),22916,11,0,1,0,10,147,15,126,6
Harrisburg,337,0,0,0,0,0,1,0,1,0
Hartford Township,1978,0,0,0,0,0,10,3,5,2
Heath,10681,31,0,10,4,17,627,81,516,30
Hilliard,36144,23,0,7,3,13,420,77,305,38
Hillsboro,6576,12,0,7,2,3,175,23,141,11
Holland,1662,12,0,5,4,3,356,10,342,4
Howland Township,16608,15,0,1,7,7,388,45,323,20
Hubbard,7533,13,0,4,0,9,120,13,106,1
Hubbard Township,5372,7,0,3,1,3,118,24,73,21
Huber Heights,37996,101,0,24,24,53,1127,139,915,73
Hudson,22248,13,0,2,1,10,144,38,104,2
Huron ,6950,4,0,1,1,2,119,25,94,0
Independence,7135,5,0,1,3,1,138,6,130,2
Ironton ,10853,17,0,4,5,8,251,66,170,15
Jackson,6305,9,0,2,2,5,141,12,126,3
Jackson Township (Mahoning),2018,2,0,0,0,2,34,16,17,1
Jackson Township (Montgomery),3658,2,0,1,0,1,13,4,8,1
Jackson Township (Stark),40624,76,1,19,26,30,1146,125,998,23
Jamestown ,2036,3,0,1,2,0,98,27,66,5
Johnstown,5025,3,0,2,0,1,63,4,56,3
Junction City,803,1,0,0,0,1,6,2,4,0
Kenton,8190,10,0,5,0,5,393,85,295,13
Lakewood,50151,94,2,6,40,46,1221,473,667,81
Lancaster ,40026,152,0,36,34,82,1758,238,1428,92
Laurelville,507,1,0,0,1,0,3,0,3,0
Lawrence Township,8273,12,2,2,0,8,103,33,59,11
Leesburg ,1295,1,0,0,0,1,54,4,47,3
Leipsic,2022,1,0,0,0,1,12,4,8,0
Lexington,4686,0,0,0,0,0,9,1,8,0
Liberty Township,11556,36,0,2,5,29,154,34,106,14
Linndale,177,0,0,0,0,0,0,0,0,0
Lisbon,2680,1,0,1,0,0,26,6,19,1
Lithopolis,1490,1,0,0,0,1,16,4,12,0
Lockland,3427,18,1,1,3,13,138,29,90,19
Logan,7077,20,0,6,3,11,293,21,258,14
London,10202,15,0,2,2,11,269,52,203,14
Lorain ,63672,375,2,35,91,247,2137,614,1401,122
Lordstown,3242,7,0,1,0,6,50,10,37,3
Loudonville,2642,4,1,1,1,1,70,6,63,1
Louisville,9373,3,0,0,0,3,126,23,100,3
Loveland,12846,12,0,6,1,5,124,27,89,8
Lynchburg,1482,0,0,0,0,0,29,2,25,2
Lyndhurst,13586,19,0,0,9,10,182,22,149,11
Macedonia,12027,9,0,2,4,3,233,15,214,4
Madison Township (Franklin),18661,19,0,2,6,11,216,64,145,7
Madison Township (Lake),15380,5,0,0,0,5,81,9,70,2
Mansfield ,46507,257,7,50,77,123,2420,578,1756,86
Marietta,13582,28,0,16,2,10,366,51,293,22
Marion,36230,121,10,44,33,34,1032,326,672,34
Martins Ferry,6731,16,0,6,0,10,80,14,60,6
Mason,33406,14,0,7,3,4,362,32,325,5
Massillon ,32265,112,2,32,27,51,764,146,611,7
Maumee,13809,9,0,2,3,4,406,35,349,22
McArthur ,1636,2,0,1,1,0,49,8,37,4
McConnelsville,1804,5,0,1,0,4,23,3,18,2
Mechanicsburg,1585,5,0,2,0,3,72,9,60,3
Medina,26199,17,1,5,5,6,342,57,285,0
Medina Township,8940,5,0,1,0,4,118,3,108,7
Mentor,46663,76,0,11,18,47,940,107,808,25
Mentor-On-The-Lake,7359,12,0,2,1,9,113,17,87,9
Miami Township (Clermont),42352,37,0,14,3,20,641,77,545,19
Miami Township (Montgomery),28996,39,1,5,6,27,1026,88,890,48
Miamisburg,19928,18,0,5,2,11,285,48,228,9
Middleport,2455,0,0,0,0,0,13,5,7,1
Milan,1339,1,0,1,0,0,10,0,10,0
Milford,6939,14,0,4,1,9,198,22,165,11
Millersburg,3186,1,0,1,0,0,107,4,102,1
Millersport,1050,0,0,0,0,0,3,1,2,0
Milton Township,2445,2,0,1,1,0,38,8,28,2
Minerva Park,1318,2,0,0,1,1,18,3,14,1
Monroe,16002,23,1,3,6,13,489,36,446,7
Monroeville,1365,0,0,0,0,0,9,1,7,1
Montgomery,10638,4,0,2,1,1,160,10,145,5
Montpelier,3976,31,0,6,1,24,156,32,118,6
Montville Township,11718,2,0,0,0,2,68,15,53,0
Moraine,6360,38,0,9,11,18,605,63,514,28
Mount Healthy,6020,30,0,6,10,14,260,62,173,25
Mount Orab,3525,4,1,2,0,1,100,5,87,8
Mount Pleasant,447,0,0,0,0,0,2,1,1,0
Mount Vernon,16553,23,1,6,1,15,636,90,539,7
Munroe Falls,5051,1,0,0,0,1,41,8,33,0
Napoleon,8410,15,0,3,5,7,194,29,162,3
Navarre,1901,1,0,0,0,1,24,3,20,1
Nelsonville,5284,16,0,3,6,7,163,37,119,7
New Albany,10838,5,0,2,0,3,121,6,106,9
New Boston,2134,7,0,0,3,4,221,30,180,11
New Bremen,2966,0,0,0,0,0,20,1,19,0
New Concord,2337,0,0,0,0,0,7,0,7,0
New Franklin,14137,15,0,3,2,10,124,31,87,6
New Knoxville,864,1,0,0,0,1,6,0,6,0
New Lebanon,3966,11,0,2,4,5,95,22,70,3
New Lexington,4716,11,0,6,1,4,139,14,116,9
New Middletown,1553,0,0,0,0,0,16,4,10,2
New Philadelphia,17492,9,0,0,2,7,141,17,120,4
New Richmond,2663,6,0,0,0,6,77,16,58,3
New Vienna,1201,0,0,0,0,0,16,4,9,3
New Waterford,1183,0,0,0,0,0,4,1,3,0
Newton Falls,4567,11,0,4,0,7,102,18,78,6
Niles,18334,64,0,8,17,39,632,116,493,23
North Baltimore,3546,12,0,4,0,8,52,11,39,2
North Canton,17348,17,0,5,3,9,342,46,288,8
North College Hill,9311,46,1,9,18,18,323,58,239,26
North Olmsted,31779,30,0,6,11,13,475,40,403,32
Northfield,3669,5,0,0,1,4,40,5,32,3
Norton,11998,12,0,4,2,6,216,44,160,12
Norwalk,16811,19,0,5,3,11,351,43,300,8
Norwood,19994,77,0,15,31,31,1026,233,732,61
Oak Harbor,2731,2,0,2,0,0,41,8,33,0
Oak Hill,1504,3,0,0,1,2,44,7,37,0
Ontario,6058,8,0,0,7,1,345,9,335,1
Oregon,19991,39,1,12,8,18,805,85,696,24
Orrville,8527,22,0,7,1,14,116,21,88,7
Ottawa,4394,6,0,2,0,4,14,0,13,1
Ottawa Hills,4488,0,0,0,0,0,51,11,36,4
Owensville,823,1,0,0,0,1,6,0,5,1
Oxford,22459,23,0,9,7,7,505,85,413,7
Oxford Township,2181,3,0,0,1,2,27,5,18,4
Pandora,1146,0,0,0,0,0,3,1,2,0
Parma,79340,155,0,45,40,70,1028,216,716,96
Payne,1147,1,0,1,0,0,9,2,7,0
Peebles,1746,3,0,0,0,3,3,1,1,1
Peninsula,563,0,0,0,0,0,24,2,21,1
Pepper Pike,6256,4,1,1,1,1,44,10,34,0
Perkins Township,11773,12,1,0,7,4,402,11,390,1
Perry Township (Columbiana),4381,0,0,0,0,0,3,2,1,0
Perry Township (Franklin),3758,2,0,0,1,1,57,5,50,2
Perrysburg,21732,8,0,4,4,0,235,10,224,1
Perrysburg Township,12784,6,0,1,0,5,178,21,149,8
Pickerington,20373,37,0,7,12,18,367,21,331,15
Pierce Township,11623,8,0,4,1,3,159,29,124,6
Pioneer,1412,4,0,2,0,2,31,5,25,1
Piqua,20973,60,1,34,13,12,834,120,694,20
Plain City,4379,2,0,0,0,2,15,2,11,2
Poland Township,11921,3,0,1,1,1,58,16,42,0
Poland Village,2444,0,0,0,0,0,8,0,6,2
Pomeroy,1808,0,0,0,0,0,4,0,3,1
Port Clinton,5928,21,0,12,3,6,184,32,139,13
Port Washington,566,0,0,0,0,0,2,1,1,0
Portsmouth,20451,132,4,23,38,67,1269,285,911,73
Powell,13029,6,0,2,2,2,112,12,98,2
Powhatan Point,1562,0,0,0,0,0,3,1,2,0
Reading,10307,31,1,4,7,19,293,53,233,7
Reynoldsburg,37704,104,1,24,50,29,1092,138,918,36
Rio Grande,844,0,0,0,0,0,11,1,9,1
Ripley,1707,3,0,1,0,2,21,3,15,3
Rockford Village,1099,0,0,0,0,0,4,0,4,0
Rocky River,20342,11,0,2,4,5,76,8,64,4
Roseville,1846,4,0,2,1,1,24,4,16,4
Ross Township,8755,18,0,3,1,14,86,27,55,4
Russell Township,5243,5,0,0,0,5,10,1,9,0
Russells Point,1367,4,1,2,0,1,28,7,21,0
Russellville,524,0,0,0,0,0,1,0,1,0
Sabina,2534,3,0,2,0,1,53,15,38,0
Sagamore Hills Township,10951,0,0,0,0,0,36,7,28,1
Salem,11887,23,0,4,2,17,362,23,335,4
Saline Township,1265,0,0,0,0,0,9,1,4,4
Salineville,1240,0,0,0,0,0,19,5,14,0
Sandusky,24861,86,1,15,31,39,1075,199,832,44
Seaman,907,0,0,0,0,0,11,4,5,2
Sebring,4232,12,0,4,0,8,116,15,96,5
Seven Hills,11668,5,0,1,1,3,52,14,35,3
Shadyside,3649,0,0,0,0,0,2,1,1,0
Sharon Township,2390,0,0,0,0,0,43,3,39,1
Shawnee Hills,785,0,0,0,0,0,6,1,5,0
Shawnee Township,12096,14,1,4,3,6,144,26,115,3
Sheffield Lake,8983,8,0,5,3,0,121,24,89,8
Shelby,8987,11,0,9,0,2,265,54,208,3
Sidney,20466,43,3,24,9,7,826,162,644,20
Smithville,1277,1,0,1,0,0,1,0,1,0
Solon,23023,18,0,3,4,11,183,25,147,11
Somerset,1460,1,0,0,0,1,4,1,3,0
South Bloomfield,1884,0,0,0,0,0,39,2,34,3
South Charleston,1640,2,0,0,0,2,40,5,31,4
South Euclid,21628,52,0,7,23,22,685,80,568,37
South Vienna,375,0,0,0,0,0,8,1,4,3
South Zanesville,1970,1,0,0,0,1,35,4,30,1
Spencer,777,2,0,1,0,1,7,1,6,0
Spencerville,2184,1,0,1,0,0,14,5,9,0
Springboro,18632,13,0,7,0,6,141,19,119,3
Springfield Township (Hamilton),36571,78,1,6,31,40,681,132,500,49
Springfield Township (Mahoning),6374,6,0,2,0,4,64,17,43,4
Springfield Township (Summit),14434,38,0,9,12,17,857,110,710,37
St. Clair Township,7583,0,0,0,0,0,28,0,28,0
St. Clairsville,5096,1,0,0,0,1,9,1,8,0
St. Henry,2527,1,0,0,0,1,9,1,8,0
St. Marys,8215,3,0,0,1,2,134,34,94,6
St. Paris,2006,2,0,0,0,2,11,1,8,2
Strasburg,2689,1,0,0,1,0,26,5,21,0
Streetsboro,16308,12,0,2,6,4,367,30,325,12
Struthers,10228,15,0,1,4,10,221,59,151,11
Sugarcreek Township,8300,5,0,4,0,1,184,14,164,6
Swanton,3913,5,0,4,0,1,57,8,45,4
Sylvania Township,29536,42,0,4,12,26,734,73,619,42
Thornville,997,0,0,0,0,0,3,1,2,0
Tipp City ,9957,8,0,4,0,4,148,11,126,11
Toledo,277116,2986,38,271,798,1879,11529,3166,7543,820
Toronto,4814,15,0,2,0,13,23,4,18,1
