Crimes Reported by City  Township  Village Police Departments for 2020,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Aberdeen,1600,2,0,0,0,2,7,1,3,3
Ada,5500,5,0,0,0,5,44,2,42,0
Akron,197433,2120,50,252,295,1523,8838,1710,6117,1011
Alliance ,21356,84,1,11,10,62,583,65,473,45
American Township,12017,4,0,1,0,3,77,9,64,4
Amherst ,12244,6,0,1,5,0,120,7,111,2
Amsterdam,468,0,0,0,0,0,5,0,5,0
Andover,1090,1,0,1,0,0,6,1,5,0
Apple Creek,1181,1,0,0,0,1,8,0,8,0
Arcanum ,1997,1,0,1,0,0,21,3,18,0
Archbold,4319,4,0,3,0,1,42,2,39,1
Ashland,20247,24,0,13,1,10,342,31,301,10
Ashville,4425,3,0,0,1,2,71,13,51,7
Athens,24570,28,0,4,8,16,578,87,469,22
Aurora,16430,5,0,0,1,4,123,12,106,5
Austintown Township,34688,66,1,11,9,45,575,89,472,14
Avon Lake,24724,7,0,2,0,5,85,13,67,5
Bainbridge Township (Geauga),11442,11,0,3,2,6,269,9,255,5
Baltimore,3006,1,0,1,0,0,9,1,8,0
Barberton,25890,67,2,18,9,38,671,133,487,51
Barnesville,3977,0,0,0,0,0,9,1,5,3
Batavia,1989,2,0,1,0,1,38,4,33,1
Bath Township (Summit),9635,7,0,0,2,5,122,7,107,8
Bay View ,599,0,0,0,0,0,3,1,2,0
Bay Village ,15135,6,0,1,0,5,129,8,106,15
Bazetta Township,5494,3,0,0,2,1,305,10,292,3
Beach City,976,1,0,0,0,1,3,0,2,1
Beachwood,11547,23,0,3,7,13,383,15,348,20
Beaver Township,6358,1,0,1,0,0,79,25,48,6
Beavercreek,48029,25,0,11,6,8,1018,62,895,61
Bellaire,3985,5,0,2,0,3,24,1,23,0
Bellbrook,7387,2,0,0,1,1,33,4,28,1
Bellefontaine,13240,9,0,3,1,5,191,24,158,9
Bellville,1933,4,0,0,0,4,15,3,11,1
Belpre,6381,13,0,7,0,6,123,39,75,9
Berea ,18539,24,0,2,9,13,148,17,125,6
Bethel,2823,5,0,1,1,3,53,9,42,2
Blanchester,4264,15,0,3,2,10,87,13,66,8
Blue Ash,12405,24,0,8,2,14,211,11,190,10
Boston Heights,1313,1,0,0,0,1,1,1,0,0
Botkins ,1157,0,0,0,0,0,18,0,18,0
Bowling Green,31621,20,1,4,5,10,446,21,413,12
Bratenahl,1153,8,0,0,0,8,9,1,8,0
Brecksville,13591,2,0,0,0,2,61,2,54,5
Brewster,2152,0,0,0,0,0,15,3,12,0
Bridgeport,1716,2,0,1,0,1,10,1,9,0
Broadview Heights ,19059,12,0,0,0,12,20,2,14,4
Brooklyn ,10584,12,0,0,5,7,500,33,435,32
Bucyrus,11698,23,0,4,2,17,231,41,180,10
Butler Township,7816,28,1,8,4,15,619,22,556,41
