Crimes Reported by City  Township  Village Police Departments for 2020,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Byesville,2342,2,0,1,0,1,5,2,3,0
Canal Fulton,5406,2,0,0,0,2,61,12,48,1
Canfield,7138,1,0,1,0,0,28,3,25,0
Canton,70124,1182,14,119,177,872,3721,781,2542,398
Cardington,2074,5,0,1,0,4,30,7,22,1
Carey,3541,2,0,0,0,2,9,2,7,0
Carroll ,570,0,0,0,0,0,1,0,0,1
Carroll Township,2081,1,0,0,0,1,23,10,13,0
Catawba Island Township,3522,0,0,0,0,0,10,1,8,1
Cedarville,4361,3,0,3,0,0,20,2,18,0
Chagrin Falls,3921,0,0,0,0,0,43,3,31,9
Cheviot ,8195,15,0,1,7,7,229,37,166,26
Cincinnati,304724,2875,96,241,768,1770,11481,2336,7512,1633
Circleville,14113,37,1,17,4,15,609,103,472,34
Clay Township (Montgomery),4236,3,0,0,0,3,18,3,14,1
Cleveland ,379121,7116,161,458,1909,4588,18738,4059,11391,3288
Cleveland Heights,43725,131,6,10,21,94,564,64,420,80
Coal Grove,2064,4,0,0,0,4,3,1,2,0
Coitsville Township,1309,5,0,0,1,4,22,5,12,5
Coldwater,4579,1,0,1,0,0,33,2,31,0
Colerain Township,59307,105,3,4,20,78,1093,129,885,79
Columbiana,6233,3,0,0,0,3,28,0,26,2
Columbus,911383,5935,175,895,1952,2913,29697,5737,20487,3473
Commercial Point,1687,1,0,0,0,1,15,3,11,1
Conneaut,12498,28,1,7,2,18,147,29,109,9
Copley Township,17280,13,1,4,2,6,242,26,192,24
Cortland,6729,6,0,1,1,4,51,6,42,3
Covington,2720,0,0,0,0,0,7,3,4,0
Craig Beach,1103,0,0,0,0,0,10,2,8,0
Creston,2173,1,0,0,0,1,3,1,2,0
Danville,1012,3,0,2,0,1,0,0,0,0
Dayton,140193,1666,48,163,310,1145,5616,1438,3343,835
Delhi Township,29831,15,0,4,3,8,299,30,250,19
Dennison,2588,5,0,2,0,3,1,0,1,0
Dillonvale,614,0,0,0,0,0,0,0,0,0
Dover,12707,5,0,2,1,2,95,29,57,9
Dublin,49954,26,1,11,4,10,421,56,327,38
East Canton,1574,0,0,0,0,0,8,1,5,2
East Liverpool,10539,8,0,3,1,4,159,29,126,4
East Palestine,4392,5,2,0,0,3,62,12,49,1
Eaton,8118,22,0,7,0,15,227,21,195,11
Elida ,1795,0,0,0,0,0,0,0,0,0
Elyria ,53677,146,7,22,33,84,811,189,558,64
Englewood,13435,14,1,3,2,8,291,18,262,11
Euclid ,46272,267,5,20,62,180,1389,206,956,227
Fairborn,33951,117,0,29,10,78,568,114,416,38
Fairfax,1701,1,0,0,0,1,157,3,154,0
Fairfield Township,22978,28,1,6,4,17,406,26,350,30
Fairview Park,16081,12,0,0,4,8,103,8,92,3
Fayette,1237,3,0,0,0,3,23,5,18,0
Findlay,41237,80,0,33,19,28,803,83,689,31
Forest,1428,0,0,0,0,0,1,0,1,0
Forest Park,18571,45,1,3,15,26,369,67,273,29
Fort Loramie,1527,0,0,0,0,0,3,0,3,0
Fort Recovery,1458,0,0,0,0,0,5,1,3,1
Frazeysburg,1317,2,0,0,0,2,15,8,7,0
Fredericktown,2528,4,0,1,0,3,10,3,7,0
Gahanna,35738,61,1,15,13,32,647,66,526,55
Gallipolis,3546,12,0,5,0,7,295,22,261,12
Garfield Heights,27283,205,4,13,44,144,686,103,580,3
Garrettsville,2313,5,0,1,0,4,24,3,21,0
Genoa,2271,1,0,0,0,1,0,0,0,0
Georgetown,4215,14,1,1,0,12,93,20,67,6
German Township (Montgomery),2894,1,0,0,0,1,16,4,11,1
Germantown,5517,5,0,3,0,2,63,14,46,3
Glouster,1779,4,0,1,0,3,8,0,6,2
Goshen Township (Clermont),16407,10,0,3,2,5,120,13,101,6
Goshen Township (Mahoning),3075,3,0,0,0,3,78,10,52,16
Grafton,5628,2,0,0,0,2,24,6,18,0
Grandview Heights,8566,4,1,0,0,3,185,29,145,11
Granville,5943,5,0,4,0,1,78,10,66,2
Gratis ,840,3,0,1,1,1,6,2,4,0
Green Township,59142,61,0,10,15,36,947,176,725,46
Greenfield,4546,8,0,3,0,5,56,8,26,22
Greenhills,3563,2,0,1,0,1,15,0,15,0
Grove City,42551,91,1,7,27,56,1116,62,976,78
Groveport,5649,17,0,1,4,12,119,9,104,6
Hamilton,62053,424,6,32,54,332,2152,367,1626,159
Hamilton Township (Warren),24081,8,0,1,1,6,68,7,59,2
Heath,11015,29,0,7,8,14,480,69,389,22
Highland Heights,8371,4,0,0,2,2,98,5,88,5
Hilliard,37585,30,0,8,11,11,290,39,227,24
Hillsboro,6549,0,0,0,0,0,74,9,53,12
Hinckley Township,8117,5,1,0,1,3,28,6,16,6
Holland,1650,4,0,0,3,1,433,12,419,2
Howland Township,16318,11,0,1,1,9,212,26,176,10
Hubbard,7370,16,0,6,1,9,87,7,75,5
Hubbard Township,5261,2,0,0,1,1,42,14,26,2
Huber Heights,38158,98,0,32,14,52,769,94,593,82
Hudson,22234,5,0,1,0,4,159,24,131,4
Hunting Valley,716,0,0,0,0,0,3,2,1,0
Huron ,6840,4,0,3,0,1,76,9,65,2
Independence,7173,23,0,4,8,11,141,6,123,12
Ironton ,10469,24,0,5,2,17,131,34,86,11
Jackson,6211,8,0,4,0,4,207,32,163,12
Jackson Township (Mahoning),1999,1,0,0,0,1,23,4,17,2
Jackson Township (Montgomery),3676,6,0,6,0,0,22,9,12,1
Jackson Township (Stark),40270,58,2,15,7,34,939,162,741,36
Jamestown ,2148,4,0,0,0,4,62,26,34,2
Johnstown,5150,1,0,0,0,1,22,0,20,2
Kenton,8163,24,0,9,3,12,247,67,178,2
Lakemore,3072,4,1,0,0,3,59,9,46,4
Lakewood,49389,70,1,10,30,29,756,62,602,92
Lancaster ,40700,112,0,29,22,61,1291,134,1083,74
Lawrence Township,8278,5,0,3,0,2,68,15,52,1
Lebanon,20720,31,0,4,2,25,297,22,260,15
Leesburg ,1324,1,0,1,0,0,20,2,17,1
Lexington,4670,0,0,0,0,0,12,0,12,0
Liberty Township,11361,38,0,6,4,28,120,9,106,5
Lisbon,2620,0,0,0,0,0,7,0,7,0
Lithopolis,1893,2,0,0,0,2,14,2,10,2
Lockland,3440,29,2,2,6,19,53,8,35,10
Lodi,2915,3,0,1,0,2,8,2,5,1
Logan,7007,13,0,6,4,3,402,77,295,30
London,10378,13,0,3,1,9,157,11,137,9
Lorain ,63831,346,2,35,67,242,1575,338,1142,95
Lordstown,3241,2,0,0,0,2,30,5,22,3
Loudonville,2614,2,0,2,0,0,26,4,18,4
Louisville,9370,5,0,0,1,4,86,11,73,2
Loveland,13265,12,0,8,0,4,101,10,86,5
Lynchburg,1482,1,0,1,0,0,4,1,3,0
Lyndhurst,13291,23,1,3,6,13,149,13,114,22
Macedonia,12098,32,0,1,3,28,217,8,196,13
Madeira,9303,3,0,1,0,2,53,5,44,4
Madison Township (Franklin),19828,31,0,6,8,17,191,44,116,31
Madison Township (Lake),15570,9,0,2,0,7,190,9,177,4
Magnolia,960,0,0,0,0,0,18,3,15,0
Mansfield ,46476,264,3,56,53,152,1617,309,1233,75
Mantua,1019,0,0,0,0,0,1,0,1,0
Maple Heights,21953,170,1,6,34,129,218,57,93,68
Marion,35784,93,4,40,11,38,717,163,485,69
Martins Ferry,6475,11,0,7,1,3,74,16,53,5
Marysville,24962,21,0,12,2,7,349,39,297,13
Mason,34218,11,0,4,3,4,215,23,167,25
Massillon ,32617,63,0,26,10,27,800,110,645,45
Maumee,13605,21,0,5,6,10,332,20,298,14
Mayfield Heights,18404,17,0,1,7,9,175,5,163,7
McArthur ,1637,5,0,1,0,4,62,16,41,5
McConnelsville,1746,1,0,0,0,1,37,6,29,2
Mechanicsburg,1586,3,0,3,0,0,49,6,39,4
Medina,25882,24,2,8,2,12,202,17,179,6
Medina Township,9105,3,0,0,0,3,102,4,89,9
Mentor,47275,70,0,15,2,53,705,76,582,47
Mentor-On-The-Lake,7385,8,1,1,1,5,56,6,45,5
Miami Township (Clermont),42931,27,0,16,2,9,440,34,382,24
Miami Township (Montgomery),29125,80,5,19,12,44,714,75,597,42
Miamisburg,20140,53,0,17,11,25,357,63,259,35
Middleport,2396,0,0,0,0,0,0,0,0,0
Middletown,48814,183,4,18,33,128,1306,219,942,145
Milan,1330,2,0,1,0,1,4,0,4,0
Milford,6872,12,1,2,0,9,180,14,158,8
Millersport,1076,1,0,0,0,1,7,0,7,0
Minerva Park,1326,0,0,0,0,0,21,2,18,1
Monroe,16663,24,3,5,1,15,337,14,304,19
Montgomery,10929,7,0,2,1,4,83,5,74,4
Montpelier,3910,17,0,10,0,7,147,15,122,10
Montville Township,11971,4,0,0,1,3,75,10,59,6
Moraine,6478,49,0,5,9,35,444,54,357,33
Mount Healthy,6729,72,0,4,10,58,271,80,176,15
Mount Orab,3418,15,0,1,1,13,66,7,55,4
Mount Pleasant,439,0,0,0,0,0,0,0,0,0
Munroe Falls,5064,2,0,1,1,0,31,6,24,1
Napoleon,8148,22,0,6,0,16,242,34,201,7
Navarre,1804,2,0,0,0,2,27,9,16,2
Nelsonville,5102,21,0,3,4,14,185,40,124,21
New Albany,11330,6,0,2,1,3,132,17,108,7
New Boston,2080,13,1,0,4,8,245,14,227,4
New Bremen,2959,1,0,0,0,1,40,4,36,0
New Concord,2192,1,0,0,0,1,11,3,8,0
New Franklin,14125,10,0,3,2,5,96,22,67,7
New Lebanon,3983,5,0,2,1,2,67,15,49,3
New Lexington,4665,16,0,2,1,13,130,26,93,11
New Middletown,1541,3,0,0,0,3,7,2,5,0
New Philadelphia,17423,9,0,0,2,7,112,5,104,3
New Richmond,2710,4,0,0,0,4,15,2,12,1
New Straitsville,709,0,0,0,0,0,27,8,16,3
New Waterford,1174,3,0,1,0,2,12,5,7,0
Newark,50625,150,3,36,27,84,1850,263,1440,147
Newton Falls,4442,20,0,2,0,18,44,6,34,4
Niles,18070,43,0,10,11,22,530,87,422,21
North Baltimore,3558,6,0,0,0,6,19,4,14,1
North Canton,17142,33,2,12,6,13,302,30,244,28
North College Hill,9269,19,2,1,8,8,244,28,199,17
North Olmsted,31176,17,1,4,6,6,414,33,341,40
North Royalton,30007,52,0,4,2,46,171,24,133,14
Northfield,3662,13,0,3,2,8,46,1,40,5
Northwood,5458,13,0,5,4,4,147,22,116,9
Norton,11951,10,0,2,1,7,257,44,175,38
Norwalk,16843,45,0,12,1,32,202,18,176,8
Norwood,19843,52,0,12,17,23,567,96,426,45
Oak Harbor,2701,2,0,0,0,2,20,3,17,0
Oak Hill,1518,1,0,0,0,1,23,4,19,0
Olmsted Falls,8801,2,0,1,0,1,22,5,14,3
Olmsted Township,13478,3,0,0,0,3,38,6,29,3
Ontario,6068,1,0,0,1,0,223,2,217,4
Oregon,20026,45,0,15,6,24,690,59,599,32
Orrville,8427,17,1,5,4,7,76,13,59,4
Ottawa,4346,15,0,2,0,13,22,3,17,2
Ottawa Hills,4491,1,0,0,0,1,40,3,24,13
Oxford,23278,35,0,3,5,27,428,72,337,19
Oxford Township,2210,0,0,0,0,0,17,3,13,1
Parma,77684,165,0,29,28,108,784,117,562,105
Payne,1133,0,0,0,0,0,3,0,3,0
Peebles,1709,1,0,0,0,1,6,3,2,1
Peninsula,554,0,0,0,0,0,25,2,23,0
Pepper Pike,6367,5,0,0,0,5,45,6,33,6
Perry Township (Columbiana),4259,0,0,0,0,0,6,0,4,2
Perry Township (Franklin),3761,1,0,0,0,1,46,5,39,2
Perry Township (Stark),28005,89,1,22,16,50,653,145,454,54
Perrysburg,21723,15,0,9,3,3,186,15,170,1
Perrysburg Township,13011,3,0,0,1,2,91,12,74,5
Pickerington,22631,23,1,11,7,4,213,32,164,17
Pierce Township,11789,15,0,9,1,5,178,23,148,7
Piketon,2135,1,0,1,0,0,38,4,28,6
Pioneer,1402,1,0,1,0,0,23,5,18,0
Piqua,21427,81,1,25,8,47,650,72,552,26
Plain City,4628,6,0,0,0,6,4,0,4,0
Poland Township,11772,4,0,1,0,3,35,10,23,2
Poland Village,2363,0,0,0,0,0,9,3,6,0
Pomeroy,1748,1,0,0,0,1,18,5,8,5
Port Clinton,6159,14,0,12,0,2,87,15,67,5
Portsmouth,20151,153,1,19,20,113,983,188,717,78
Powell,13593,0,0,0,0,0,91,18,67,6
Powhatan Point,1512,0,0,0,0,0,3,1,2,0
Put-In-Bay,141,0,0,0,0,0,1,0,1,0
Racine ,661,0,0,0,0,0,3,1,2,0
Reading,11024,26,0,4,7,15,283,37,231,15
Reynoldsburg,38600,141,2,16,36,87,989,121,778,90
Richwood,2510,5,0,0,1,4,29,5,24,0
Rio Grande,766,0,0,0,0,0,4,1,1,2
Riverside,25128,69,2,17,5,45,390,79,238,73
Rockford Village,1102,2,0,0,0,2,2,0,2,0
Rocky River,19951,13,0,1,2,10,65,6,55,4
Roseville,1837,1,0,1,0,0,1,0,1,0
Ross Township,8956,2,0,0,0,2,45,4,35,6
Russell Township,5199,1,0,0,0,1,39,0,37,2
Rutland,376,1,0,0,0,1,2,0,2,0
Sabina,2576,3,0,0,0,3,78,15,62,1
Sagamore Hills Township,10917,1,0,0,0,1,32,8,23,1
Salem,11538,19,0,4,2,13,335,21,307,7
Saline Township,1258,0,0,0,0,0,1,0,1,0
Salineville,1209,4,0,2,2,0,25,1,24,0
Sandusky,24422,54,1,11,14,28,840,164,651,25
Seaman,891,4,0,0,0,4,9,0,8,1
Sebring,4163,12,0,4,0,8,105,15,86,4
Seven Hills,11561,5,0,1,1,3,58,12,30,16
Shawnee Hills,837,4,0,0,0,4,6,2,4,0
Shawnee Township,12044,9,0,3,0,6,128,20,104,4
Sheffield Lake,8892,3,0,2,1,0,74,13,61,0
Shelby,9002,27,0,9,0,18,135,17,114,4
Sidney,20372,106,2,38,11,55,614,84,496,34
Smithville,1260,0,0,0,0,0,3,0,2,1
Solon,22703,11,0,2,1,8,163,15,138,10
Somerset,1452,1,0,0,0,1,12,1,11,0
South Bloomfield,2000,1,0,0,0,1,33,3,25,5
South Charleston,1612,2,0,0,0,2,9,0,9,0
South Euclid,21179,80,0,7,21,52,519,38,445,36
South Vienna,398,0,0,0,0,0,2,0,2,0
South Zanesville,2108,1,0,0,0,1,25,10,14,1
Spencerville,2154,2,0,1,0,1,25,8,14,3
Springdale,11160,58,1,11,13,33,326,25,262,39
Springfield Township (Hamilton),35947,67,0,3,14,50,482,71,362,49
Springfield Township (Mahoning),6352,4,0,2,0,2,71,15,50,6
Springfield Township (Summit),14507,57,0,12,10,35,769,107,610,52
St. Clair Township,7436,7,0,0,0,7,120,2,118,0
St. Henry,2568,1,0,1,0,0,8,0,8,0
St. Marys,8142,4,0,0,0,4,97,15,74,8
St. Paris,2003,1,0,0,0,1,0,0,0,0
Strasburg,2697,4,0,0,0,4,11,0,10,1
Streetsboro,16527,6,0,0,1,5,213,20,181,12
Struthers,10048,14,0,3,2,9,98,24,65,9
Sugar Grove,426,0,0,0,0,0,1,0,1,0
Sugarcreek Township,8484,4,0,3,0,1,154,5,142,7
Swanton,3860,0,0,0,0,0,45,12,32,1
Sylvania,19337,12,0,1,4,7,158,12,142,4
Sylvania Township,29711,52,1,11,12,28,671,46,587,38
Syracuse,815,0,0,0,0,0,2,0,2,0
Toledo,271237,3116,57,244,568,2247,8384,1901,5381,1102
Toronto,4883,4,0,0,0,4,16,3,12,1
Trotwood,24399,188,0,16,29,143,629,140,399,90
Troy,26407,31,1,4,2,24,416,49,351,16
Uhrichsville,5304,13,0,7,0,6,60,22,32,6
Uniontown,3309,3,0,0,1,2,72,7,58,7
Upper Arlington,35557,13,0,2,9,2,354,45,298,11
Upper Sandusky,6423,12,0,8,0,4,112,9,102,1
Urbana,11351,35,2,9,1,23,321,41,278,2
Utica,2273,4,0,1,0,3,13,6,6,1
Van Wert,10659,32,1,5,4,22,273,49,218,6
Vandalia,14968,29,0,12,8,9,276,43,199,34
Vienna Township,3761,8,0,2,1,5,47,8,31,8
Wadsworth,24324,17,1,6,2,8,325,24,290,11
Wapakoneta,9680,17,0,3,2,12,139,15,119,5
Warren,38462,206,12,39,47,108,1129,279,781,69
Warren Township,5144,9,0,2,1,6,62,12,36,14
Washington Court House,14076,43,0,9,6,28,409,56,328,25
Waterville,5543,3,0,0,0,3,45,4,40,1
Wauseon,7411,15,0,4,2,9,152,7,143,2
Waverly,4217,10,0,1,1,8,106,5,96,5
Weathersfield Township,7965,16,1,2,1,12,106,25,74,7
Wellston,5489,17,1,2,1,13,150,23,112,15
West Carrollton,12833,33,1,9,7,16,214,33,151,30
West Chester Township,62685,130,1,29,14,86,1037,109,873,55
West Jefferson,4455,11,0,5,0,6,64,6,54,4
West Lafayette,2305,0,0,0,0,0,3,0,2,1
West Union,3152,3,0,1,0,2,16,3,11,2
Westerville,41652,59,0,12,15,32,723,40,648,35
Whitehall,19014,172,2,10,52,108,898,124,675,99
Whitehouse,4932,5,0,2,0,3,15,1,14,0
Wickliffe,12743,41,0,4,4,33,164,19,134,11
Willard,5993,10,0,0,1,9,127,15,108,4
Williamsburg,2579,4,0,2,0,2,41,9,25,7
Willoughby,23058,51,0,4,6,41,388,34,320,34
Wilmington,12353,36,0,11,6,19,366,40,318,8
Winchester,1002,1,0,0,0,1,6,5,0,1
Wintersville,3642,3,0,0,0,3,72,7,63,2
Woodlawn,3410,5,0,1,1,3,71,6,63,2
Woodsfield,2200,3,0,0,1,2,9,2,7,0
Wooster,26424,74,0,20,12,42,693,101,572,20
Worthington,14822,12,0,3,6,3,211,20,181,10
Xenia,27095,78,0,23,5,50,623,78,515,30
Yellow Springs,3771,6,0,3,1,2,77,12,62,3
Zanesville,25136,136,2,28,23,83,1037,159,837,41
