Crimes Reported by City  Township  Village Police Departments for 2018,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Aberdeen,1597,1,0,1,0,0,14,5,9,0
Ada,5556,1,0,0,0,1,26,8,18,0
Akron,197690,1701,38,250,409,1004,8712,1917,5891,904
Albany,916,0,0,0,0,0,14,2,12,0
Alliance ,21723,60,1,12,7,40,586,86,487,13
Amelia ,4994,2,0,1,0,1,60,5,53,2
American Township,12094,2,0,0,1,1,150,5,137,8
Amherst ,12100,12,0,2,3,7,188,23,164,1
Apple Creek,1189,0,0,0,0,0,15,3,11,1
Archbold,4302,4,0,0,0,4,48,6,41,1
Ashland,20446,30,0,15,2,13,408,64,335,9
Ashville,4162,4,0,2,0,2,53,8,43,2
Athens,25356,42,0,6,6,30,496,57,420,19
Aurora,16047,11,1,2,1,7,152,12,138,2
Austintown Township,35029,44,0,5,17,22,685,71,589,25
Bainbridge Township (Geauga),11477,3,0,1,1,1,191,6,185,0
Baltimore,2991,3,0,0,1,2,20,2,17,1
Barberton,26060,102,2,17,20,63,851,142,674,35
Barnesville,4064,0,0,0,0,0,15,2,12,1
Batavia,1674,3,0,1,1,1,44,2,39,3
Bath Township (Summit),9689,2,0,0,1,1,138,12,123,3
Bay View ,601,0,0,0,0,0,6,4,2,0
Bay Village ,15328,8,0,2,2,4,67,7,53,7
Bazetta Township,5565,4,0,0,2,2,140,8,130,2
Beach City,997,0,0,0,0,0,0,0,0,0
Beachwood,11681,13,1,3,5,4,312,27,278,7
Beaver Township,6437,4,0,1,0,3,61,9,52,0
Beavercreek,47203,54,1,22,7,24,1170,75,1051,44
Bellaire,4083,10,0,3,1,6,63,13,45,5
Bellbrook,7256,6,0,5,1,0,52,4,46,2
Bellefontaine,13137,12,1,1,1,9,287,26,261,0
Bellville,1867,0,0,0,0,0,25,1,24,0
Belpre,6402,8,0,2,1,5,114,17,88,9
Bentleyville,859,0,0,0,0,0,0,0,0,0
Bethel,2796,11,0,2,2,7,66,2,61,3
Bexley,13893,16,1,5,4,6,408,96,294,18
Blanchester,4246,3,0,0,3,0,128,13,109,6
Bloomdale ,684,0,0,0,0,0,1,0,1,0
Blue Ash,12227,14,1,9,2,2,263,19,234,10
Bolivar,976,2,0,0,1,1,1,0,1,0
Botkins ,1149,0,0,0,0,0,13,2,10,1
Bowling Green,32017,26,0,10,6,10,391,34,349,8
Bratenahl,1164,6,0,0,1,5,14,3,10,1
Brecksville,13652,10,0,4,1,5,49,11,36,2
Bridgeport,1756,3,1,1,0,1,27,6,20,1
Broadview Heights ,19236,2,0,0,0,2,19,1,17,1
Brunswick,34954,23,0,2,0,21,185,22,158,5
Brunswick Hills Township,10418,4,0,2,1,1,31,3,25,3
