Crimes Reported by City  Township  Village Police Departments for 2018,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Bucyrus,11741,30,0,7,1,22,376,69,304,3
Butler Township,7802,21,0,2,8,11,482,81,368,33
Byesville,2361,1,0,1,0,0,4,0,4,0
Campbell,7844,10,0,1,3,6,43,16,24,3
Canal Fulton,5450,4,0,1,0,3,54,12,40,2
Canfield,7220,3,0,2,0,1,50,1,49,0
Canton,70605,927,5,108,202,612,3908,1008,2566,334
Cardington,2048,1,0,1,0,0,10,1,8,1
Carey,3564,1,0,0,0,1,8,3,5,0
Carlisle,5393,4,0,0,1,3,24,7,13,4
Carroll ,565,0,0,0,0,0,3,0,3,0
Catawba Island Township,3540,2,0,0,0,2,8,1,7,0
Chagrin Falls,3973,3,0,0,0,3,17,2,15,0
Chester Township,10310,0,0,0,0,0,7,2,5,0
Chillicothe,21441,111,0,11,25,75,1714,229,1426,59
Cincinnati,301952,2703,60,328,895,1420,13840,2980,9490,1370
Circleville,13993,47,1,16,6,24,547,73,446,28
Clay Township (Montgomery),4238,2,1,0,0,1,22,7,15,0
Clearcreek Township,15765,4,0,0,0,4,68,10,58,0
Cleveland ,384666,6303,101,591,2227,3384,20889,4921,12687,3281
Coitsville Township,1331,4,0,0,1,3,35,13,20,2
Coldwater,4515,8,1,6,0,1,36,0,36,0
Columbiana,6218,5,0,0,0,5,39,9,27,3
Columbus,892576,4861,120,945,2025,1771,32878,6543,22227,4108
Commercial Point,1636,0,0,0,0,0,16,3,13,0
Conneaut,12616,29,0,5,0,24,268,53,209,6
Cortland,6759,1,0,0,0,1,61,3,57,1
Covington,2666,0,0,0,0,0,19,4,15,0
Craig Beach,1119,1,0,0,0,1,6,0,6,0
Crestline,4396,4,0,0,0,4,52,17,32,3
Creston,2200,1,0,0,0,1,16,4,10,2
Danville,1003,0,0,0,0,0,25,4,18,3
Dayton,140094,1365,37,182,415,731,6450,1759,3891,800
Defiance,16620,33,1,18,0,14,324,49,262,13
Delhi Township,29700,26,0,8,8,10,322,35,269,18
Dennison,2607,2,0,1,0,1,8,1,7,0
Dover,12752,11,0,4,4,3,101,17,77,7
Dublin,48570,30,1,12,6,11,433,86,323,24
East Canton,1582,0,0,0,0,0,9,1,8,0
East Liverpool,10619,25,0,5,2,18,216,50,158,8
Eaton,8154,1,0,1,0,0,214,9,201,4
Elida ,1810,1,0,0,0,1,8,0,8,0
Englewood,13474,13,0,6,5,2,428,28,387,13
Euclid ,47048,307,6,27,87,187,1263,201,892,170
Fairborn,33604,122,2,36,16,68,691,151,504,36
Fairfield Township,22789,27,2,6,4,15,768,51,703,14
Fairview Park,16248,19,0,3,4,12,155,17,131,7
Fayette,1246,0,0,0,0,0,14,2,11,1
Findlay,41351,101,4,45,14,38,1099,156,912,31
Forest,1431,0,0,0,0,0,12,7,5,0
Fort Recovery,1434,2,0,2,0,0,14,0,13,1
Franklin,11728,27,0,6,10,11,516,100,379,37
Frazeysburg,1309,2,0,1,0,1,4,0,4,0
Fredericktown,2498,1,0,0,0,1,40,9,30,1
Gahanna,35596,42,1,17,13,11,695,87,566,42
Galion,9957,18,0,5,2,11,225,27,194,4
Gallipolis,3402,20,0,5,3,12,318,44,259,15
Garfield Heights,27744,159,4,23,17,115,632,27,604,1
Garrettsville,2315,3,0,1,0,2,23,1,22,0
Geneva-On-The-Lake,1202,9,0,0,0,9,41,11,28,2
Genoa,2283,0,0,0,0,0,4,1,3,0
Georgetown,4282,6,1,0,0,5,124,22,96,6
German Township (Montgomery),2886,0,0,0,0,0,21,7,13,1
Germantown,5499,5,0,2,0,3,57,7,47,3
Girard,9304,29,0,2,2,25,233,44,178,11
Glouster,1806,3,0,1,0,2,35,15,20,0
Goshen Township (Clermont),16177,12,0,5,0,7,169,33,121,15
Goshen Township (Mahoning),3110,11,0,0,0,11,68,18,44,6
Grafton,5953,3,0,0,1,2,34,5,27,2
Granville,5787,5,0,3,0,2,26,7,19,0
Gratis ,853,0,0,0,0,0,7,3,3,1
Greenfield,4543,16,0,4,1,11,149,31,96,22
Grove City,41833,50,1,17,19,13,1169,87,1047,35
Groveport,5656,28,0,2,3,23,155,18,128,9
Hamilton,62059,340,5,57,116,162,2807,653,1949,205
Hamilton Township (Warren),23330,13,1,7,0,5,98,9,80,9
Heath,10774,32,2,12,3,15,578,73,483,22
Hilliard,37184,43,0,14,9,20,262,48,188,26
Hillsboro,6499,15,1,3,1,10,139,19,109,11
Holland,1645,9,0,0,7,2,525,3,520,2
Howland Township,16449,11,0,3,4,4,358,48,305,5
Hubbard,7433,12,0,1,1,10,109,19,85,5
Hubbard Township,5340,12,0,1,0,11,74,16,57,1
Huber Heights,37969,84,2,27,25,30,1046,130,833,83
Hudson,22242,2,0,0,0,2,131,17,108,6
Huron ,6893,1,0,1,0,0,68,6,62,0
Independence,7135,13,0,2,5,6,126,12,112,2
Ironton ,10666,26,0,10,5,11,363,53,187,123
Jackson,6231,2,0,0,2,0,164,17,143,4
Jackson Township (Mahoning),2026,5,0,1,0,4,49,8,38,3
Jackson Township (Montgomery),3674,3,0,2,0,1,24,7,14,3
Jackson Township (Stark),40416,90,1,25,24,40,1164,160,979,25
Jamestown ,2098,2,0,0,2,0,52,14,35,3
Johnstown,5054,4,0,3,0,1,33,0,33,0
Kalida,1569,0,0,0,0,0,4,0,4,0
Kenton,8114,30,0,11,5,14,325,58,264,3
Lakemore,3074,3,0,0,1,2,106,13,90,3
Lakewood,50078,63,2,6,30,25,699,109,531,59
Lancaster ,40498,139,0,54,21,64,1743,267,1418,58
Laurelville,509,0,0,0,0,0,6,1,4,1
Lawrence Township,8273,6,0,2,0,4,79,19,52,8
Lebanon,20696,44,0,22,3,19,378,37,322,19
Leesburg ,1301,3,0,0,1,2,40,6,32,2
Leipsic,2020,2,0,0,0,2,9,1,6,2
Lexington,4666,1,0,0,0,1,9,0,9,0
Liberty Township,11456,32,0,3,7,22,208,32,166,10
Lisbon,2653,4,0,1,1,2,20,2,16,2
Lithopolis,1651,0,0,0,0,0,19,1,17,1
Logan,7059,32,1,10,4,17,401,50,338,13
London,10175,23,0,6,2,15,269,38,212,19
Lordstown,3252,2,0,0,0,2,48,7,36,5
Loudonville,2621,6,0,5,0,1,38,2,35,1
Louisville,9347,9,0,0,0,9,145,26,115,4
Loveland,12876,7,0,3,0,4,110,18,88,4
Lynchburg,1470,0,0,0,0,0,18,6,11,1
Lyndhurst,13519,13,0,0,2,11,160,14,145,1
Macedonia,12056,8,1,0,3,4,288,7,277,4
Madison Township (Franklin),19241,26,1,5,3,17,184,38,127,19
Madison Township (Lake),15626,18,0,3,2,13,250,29,220,1
Magnolia,965,2,0,0,0,2,15,5,8,2
Maineville,1084,0,0,0,0,0,2,1,1,0
Mansfield ,45941,244,7,62,57,118,2146,445,1618,83
Marietta,13618,36,0,13,4,19,327,35,278,14
Marion,35885,110,3,41,27,39,971,291,624,56
Martins Ferry,6624,19,1,7,1,10,95,18,69,8
Marysville,24174,30,0,9,4,17,387,36,339,12
Mason,33583,7,0,2,2,3,270,23,239,8
Massillon ,32361,80,0,35,17,28,768,120,613,35
Maumee,13720,28,0,4,6,18,433,64,354,15
McArthur ,1646,2,0,1,0,1,46,10,31,5
McConnelsville,1775,4,0,2,0,2,26,5,20,1
Mechanicsburg,1589,7,0,4,0,3,47,4,40,3
Medina,26128,28,1,7,3,17,288,18,270,0
Medina Township,9004,8,0,3,1,4,101,1,95,5
Mentor,47118,52,1,19,11,21,731,44,670,17
Mentor-On-The-Lake,7399,10,0,0,1,9,70,5,64,1
Miami Township (Clermont),42493,37,0,13,3,21,474,51,415,8
Miami Township (Montgomery),29065,67,2,13,21,31,969,72,858,39
Miamisburg,19954,56,0,14,15,27,473,74,359,40
Middleport,2435,3,0,0,0,3,19,9,10,0
Milan,1331,2,0,0,0,2,5,0,5,0
Milford,6914,7,0,2,1,4,198,7,182,9
Millersport,1056,0,0,0,0,0,10,1,8,1
Milton Township,2446,2,0,0,1,1,30,8,22,0
Minerva Park,1328,0,0,0,0,0,13,2,10,1
Monroe,16310,19,0,3,2,14,469,25,432,12
Monroeville,1358,1,0,0,0,1,8,1,6,1
Montpelier,3934,11,0,8,0,3,189,41,139,9
Montville Township,11831,3,0,0,0,3,53,4,49,0
Moraine,6460,57,0,9,10,38,409,53,332,24
Mount Orab,3485,9,0,2,0,7,108,2,64,42
Mount Pleasant,445,0,0,0,0,0,2,0,2,0
Mount Vernon,16607,22,0,8,1,13,530,52,477,1
Mowrystown,349,1,0,0,0,1,1,0,1,0
Munroe Falls,5064,2,0,0,0,2,32,3,29,0
Napoleon,8236,17,0,6,3,8,149,20,120,9
Navarre,1893,7,0,1,1,5,29,5,23,1
Nelsonville,5278,8,0,0,4,4,209,58,132,19
New Albany,11192,3,0,1,1,1,125,11,108,6
New Boston,2103,11,0,1,3,7,352,23,321,8
New Bremen,2972,1,0,0,0,1,11,2,9,0
New Concord,2235,1,0,0,0,1,10,1,8,1
New Franklin,14157,7,1,0,0,6,128,39,81,8
New Lebanon,3983,6,0,0,0,6,107,23,78,6
New Lexington,4697,15,0,5,1,9,124,19,97,8
New Miami,2363,0,0,0,0,0,2,0,2,0
New Middletown,1547,0,0,0,0,0,7,0,7,0
New Philadelphia,17445,8,0,1,2,5,221,11,207,3
New Richmond,2683,10,0,3,2,5,44,6,35,3
New Vienna,1218,1,0,0,0,1,23,3,20,0
New Waterford,1185,0,0,0,0,0,9,1,7,1
Newark,49687,200,4,44,40,112,2248,491,1593,164
Newton Falls,4516,18,0,5,0,13,99,12,87,0
Niles,18370,52,1,10,17,24,528,83,429,16
North Baltimore,3545,8,2,1,0,5,48,10,35,3
North Canton,17265,27,0,7,1,19,335,48,266,21
North Olmsted,31653,13,0,3,7,3,417,52,345,20
North Royalton,30324,19,2,6,1,10,132,24,100,8
Northfield,3668,5,0,0,3,2,40,3,35,2
Northwood,5421,13,0,1,5,7,166,21,134,11
Norton,12003,11,0,2,0,9,237,40,176,21
Norwalk,16800,17,0,4,5,8,325,44,266,15
Norwood,19976,64,0,13,22,29,761,111,611,39
Oak Harbor,2716,4,0,1,1,2,43,11,30,2
Oak Hill,1512,0,0,0,0,0,27,6,19,2
Ontario,6056,3,0,0,1,2,342,5,333,4
Oregon,19922,52,0,15,8,29,661,63,577,21
Orrville,8472,18,0,7,0,11,79,23,56,0
Ottawa,4346,1,0,0,0,1,7,0,6,1
Ottawa Hills,4472,1,0,1,0,0,38,4,31,3
Owensville,821,2,0,0,0,2,16,6,10,0
Oxford,23038,25,0,15,2,8,518,68,432,18
Oxford Township,2210,4,0,0,0,4,31,7,22,2
Pandora,1128,1,0,0,0,1,2,1,1,0
Parma,78968,154,3,42,21,88,940,187,678,75
Payne,1141,0,0,0,0,0,5,0,5,0
Peebles,1725,2,0,1,0,1,9,1,5,3
Peninsula,562,0,0,0,0,0,15,0,15,0
Pepper Pike,6309,4,0,1,0,3,34,3,30,1
Perkins Township,11701,8,0,0,5,3,387,12,370,5
Perry Township (Columbiana),4324,0,0,0,0,0,11,6,5,0
Perry Township (Franklin),3773,2,0,1,0,1,46,6,39,1
Perry Township (Stark),28209,58,0,18,8,32,478,133,323,22
Perrysburg,21585,11,0,8,3,0,248,26,222,0
Perrysburg Township,12935,8,2,2,1,3,146,27,115,4
Pickerington,20716,30,0,7,9,14,295,31,256,8
Pierce Township,11669,10,0,4,1,5,320,15,293,12
Pioneer,1399,1,0,0,0,1,20,4,14,2
Piqua,21056,50,0,28,10,12,833,127,667,39
Plain City,4401,2,0,0,0,2,9,0,8,1
Poland Township,11888,5,0,3,1,1,37,14,20,3
Poland Village,2432,1,0,0,1,0,11,3,8,0
Pomeroy,1782,0,0,0,0,0,2,1,1,0
Port Clinton,5899,15,0,6,3,6,193,46,141,6
Port Washington,568,0,0,0,0,0,3,0,3,0
Portsmouth,20473,136,1,17,36,82,1060,229,743,88
Powell,13455,6,0,3,2,1,120,15,102,3
Reynoldsburg,38126,104,3,33,35,33,983,106,791,86
Rio Grande,796,1,0,0,0,1,11,3,8,0
Ripley,1690,0,0,0,0,0,17,2,13,2
Rockford Village,1107,2,0,1,0,1,2,0,2,0
Rocky River,20253,4,0,0,0,4,77,10,65,2
Roseville,1836,4,0,1,0,3,193,2,11,180
Ross Township,8879,4,0,2,0,2,68,12,54,2
Russell Township,5216,0,0,0,0,0,5,0,5,0
Russells Point,1373,6,0,0,0,6,30,6,23,1
Sabina,2546,2,0,2,0,0,69,13,53,3
Sagamore Hills Township,10956,1,0,0,0,1,33,5,27,1
Salem,11710,24,0,5,3,16,415,34,371,10
Saline Township,1272,0,0,0,0,0,7,1,5,1
Salineville,1228,1,0,0,1,0,29,6,22,1
Sandusky,24700,72,0,21,22,29,988,210,736,42
Seaman,897,0,0,0,0,0,14,7,6,1
Sebring,4217,5,1,1,0,3,90,12,75,3
Seven Hills,11662,3,0,1,0,2,56,11,43,2
Shadyside,3594,2,0,0,0,2,3,1,2,0
Shawnee,641,1,0,0,0,1,6,3,3,0
Shawnee Hills,804,0,0,0,0,0,13,2,11,0
Shawnee Township,12061,11,0,5,1,5,120,20,95,5
Sheffield Lake,8954,8,1,4,1,2,78,18,58,2
Shelby,8984,18,0,10,1,7,223,37,180,6
Sidney,20537,60,0,34,12,14,702,116,559,27
Smithville,1265,2,0,1,0,1,7,0,7,0
Solon,22948,13,0,2,1,10,219,25,189,5
Somerset,1459,1,0,0,0,1,7,1,5,1
South Bloomfield,1998,0,0,0,0,0,24,2,19,3
South Charleston,1614,1,0,0,0,1,31,6,21,4
South Euclid,21539,48,0,9,14,25,551,65,451,35
South Vienna,391,0,0,0,0,0,12,1,9,2
South Zanesville,1994,0,0,0,0,0,16,3,11,2
Spencer,785,1,0,0,1,0,1,0,1,0
Spencerville,2177,0,0,0,0,0,10,2,7,1
Springboro,18789,6,0,1,1,4,116,16,90,10
Springfield Township (Mahoning),6448,6,0,3,1,2,84,19,64,1
Springfield Township (Summit),14572,51,0,17,13,21,758,105,619,34
St. Henry,2543,1,0,0,1,0,17,2,15,0
St. Marys,8127,6,0,0,0,6,91,25,64,2
St. Paris,2001,2,0,1,0,1,4,0,4,0
Strasburg,2688,0,0,0,0,0,6,1,3,2
Streetsboro,16411,10,1,0,0,9,219,24,187,8
Struthers,10193,11,0,3,5,3,146,32,106,8
Sugar Grove,426,0,0,0,0,0,2,0,2,0
Sugarcreek Township,8412,11,0,3,1,7,237,12,223,2
Swanton,3900,2,0,0,1,1,60,12,46,2
Sylvania,18945,11,0,6,0,5,178,23,147,8
Sylvania Township,29574,51,0,4,7,40,686,68,592,26
Thornville,1000,0,0,0,0,0,6,0,6,0
Tipp City ,9995,5,0,3,0,2,163,35,117,11
Toledo,275023,2566,37,287,631,1611,10777,2840,7078,859
Toronto,4776,8,1,2,1,4,16,8,8,0
Tremont City,362,0,0,0,0,0,2,0,2,0
Trotwood,24380,184,7,27,39,111,939,206,552,181
Troy,25960,43,0,18,6,19,559,71,465,23
Uhrichsville,5343,4,0,1,1,2,45,5,35,5
Union Township (Clermont),48187,42,1,15,11,15,1004,91,872,41
Uniontown,3349,8,0,2,0,6,91,18,69,4
Upper Arlington,35572,10,2,1,5,2,420,80,330,10
Upper Sandusky,6497,9,0,2,0,7,145,25,119,1
Urbana,11337,42,0,16,1,25,425,50,365,10
Utica,2220,3,0,0,0,3,20,5,13,2
Van Wert,10631,32,0,11,3,18,327,47,275,5
Vermilion,10436,4,0,1,1,2,137,18,116,3
Wadsworth,23744,26,1,3,4,18,381,32,338,11
Wapakoneta,9771,10,0,7,0,3,189,17,167,5
Warren,39280,266,6,43,76,141,1557,519,948,90
Washington Court House,14210,25,0,10,6,9,565,76,454,35
Washingtonville,751,0,0,0,0,0,2,1,1,0
Waterville,5490,0,0,0,0,0,27,1,24,2
Wauseon,7345,16,0,5,0,11,231,27,201,3
Waverly,4295,4,2,0,0,2,73,1,67,5
Wellston,5506,11,0,3,1,7,190,38,146,6
West Chester Township,62063,81,2,33,17,29,1327,141,1139,47
West Farmington,467,0,0,0,0,0,3,1,2,0
West Jefferson,4375,3,0,1,0,2,57,3,54,0
West Lafayette,2301,0,0,0,0,0,6,0,6,0
West Union,3141,4,0,1,0,3,18,11,5,2
Westerville,40225,61,4,25,12,20,754,48,683,23
Whitehall,19024,142,2,21,59,60,1140,185,859,96
Whitehouse,4823,4,0,3,0,1,26,3,21,2
Wickliffe,12734,12,0,0,6,6,158,18,133,7
Willard,6022,8,0,3,0,5,246,26,213,7
Williamsburg,2564,7,0,2,3,2,56,3,47,6
Willoughby,22949,32,1,4,8,19,422,57,342,23
Wilmington,12386,19,0,7,2,10,739,92,632,15
Winchester,1002,0,0,0,0,0,1,0,0,1
Windham,2199,1,0,0,0,1,18,3,14,1
Wintersville,3700,1,0,0,0,1,50,10,38,2
Wooster,26688,89,1,35,11,42,810,153,630,27
Worthington,14805,7,0,2,3,2,318,35,273,10
Wyoming,8554,4,0,0,2,2,77,8,66,3
Xenia,26691,77,4,20,11,42,806,126,649,31
Yellow Springs,3768,6,0,2,1,3,80,16,63,1
Youngstown,64282,467,23,31,155,258,2330,833,1287,210
Zanesville,25371,157,5,40,18,94,1217,158,991,68
