Crimes Reported by City  Township  Village Police Departments for 2019,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Aberdeen,1604,1,0,0,0,1,9,1,5,3
Ada,5509,3,0,2,1,0,29,6,22,1
Akron,197882,1756,36,217,351,1152,8058,1819,5497,742
Albany,908,0,0,0,0,0,13,3,10,0
Alliance ,21536,59,0,9,9,41,619,70,524,25
American Township,12050,0,0,0,0,0,105,5,95,5
Amherst ,12166,4,0,0,3,1,152,20,128,4
Apple Creek,1189,0,0,0,0,0,6,0,6,0
Arcanum ,2006,0,0,0,0,0,16,1,15,0
Archbold,4320,6,0,1,1,4,88,7,74,7
Ashland,20410,35,1,19,2,13,413,53,355,5
Ashville,4331,4,0,2,0,2,55,2,40,13
Athens,24745,38,0,5,6,27,429,36,371,22
Aurora,16319,1,0,0,0,1,132,5,124,3
Austintown Township,35014,59,0,8,14,37,671,75,570,26
Avon Lake,24624,7,0,0,1,6,94,13,78,3
Bainbridge Township (Geauga),11493,4,0,2,1,1,259,34,220,5
Baltimore,2996,0,0,0,0,0,9,0,8,1
Barberton,26015,72,2,15,11,44,698,112,554,32
Barnesville,4020,1,0,1,0,0,16,3,11,2
Batavia,1680,4,0,0,0,4,38,8,27,3
Bath Township (Summit),9659,5,0,1,1,3,149,13,134,2
Bay View ,602,1,0,0,0,1,8,3,4,1
Bay Village ,15235,4,1,0,0,3,78,11,62,5
Bazetta Township,5530,6,0,1,0,5,218,4,211,3
Beach City,991,0,0,0,0,0,1,0,1,0
Beachwood,11612,13,0,3,2,8,470,16,438,16
Beaver Township,6415,3,0,2,0,1,76,21,53,2
Beavercreek,47672,36,0,13,10,13,1216,79,1103,34
Bellaire,4039,19,0,7,0,12,35,5,29,1
Bellbrook,7326,0,0,0,0,0,36,3,33,0
Bellefontaine,13145,25,0,6,0,19,207,32,172,3
Bellville,1895,1,0,0,1,0,17,0,16,1
Belpre,6386,5,0,1,0,4,126,22,86,18
Bethel,2809,10,0,3,0,7,83,16,63,4
Bexley,13956,12,0,3,4,5,303,64,230,9
Blanchester,4251,3,0,1,0,2,102,20,81,1
Blue Ash,12307,14,0,3,2,9,218,17,192,9
Botkins ,1153,0,0,0,0,0,15,0,13,2
Bowling Green,31719,40,0,18,4,18,556,46,494,16
Bratenahl,1156,2,0,0,0,2,11,6,4,1
Brecksville,13614,2,0,0,0,2,114,33,77,4
Brewster,2158,4,0,1,0,3,27,6,21,0
Bridgeport,1741,1,0,1,0,0,16,3,10,3
Broadview Heights ,19156,7,0,0,2,5,25,1,22,2
Brunswick,34977,20,0,2,1,17,202,21,167,14
Brunswick Hills Township,10484,7,0,2,1,4,24,3,19,2
Bucyrus,11712,25,0,6,3,16,295,49,238,8
Butler Township,7819,29,0,11,7,11,412,31,368,13
Byesville,2352,1,0,1,0,0,6,1,5,0
Campbell,7815,9,0,1,2,6,57,27,23,7
Canal Fulton,5450,7,0,0,2,5,58,11,45,2
Canfield,7199,2,0,0,0,2,46,1,44,1
Canton,70139,1120,8,147,206,759,3866,998,2521,347
Cardington,2056,3,0,0,0,3,21,6,14,1
Carey,3553,2,0,0,0,2,26,14,12,0
Carroll ,565,0,0,0,0,0,5,0,5,0
Carroll Township,2096,1,0,0,0,1,17,2,13,2
Catawba Island Township,3556,0,0,0,0,0,11,2,9,0
Cedarville,4148,2,0,2,0,0,16,0,16,0
Chagrin Falls,3941,1,0,0,1,0,50,16,34,0
Chester Township,10322,0,0,0,0,0,16,2,13,1
Cheviot ,8269,22,0,5,7,10,224,55,146,23
Chillicothe,21670,107,0,25,19,63,1682,187,1437,58
Cincinnati,303335,2676,69,309,846,1452,13079,2755,8939,1385
Circleville,14025,55,1,16,14,24,627,82,511,34
Clay Township (Montgomery),4251,2,0,0,0,2,16,4,9,3
Cleveland ,381829,6092,103,550,2003,3436,20576,4562,12930,3084
Cleveland Heights,44098,125,2,8,35,80,730,111,553,66
Cleves ,3443,2,0,0,0,2,32,3,26,3
Coitsville Township,1324,3,1,0,0,2,25,4,18,3
Colerain Township,59479,70,1,5,41,23,1352,138,1165,49
Columbiana,6209,2,0,0,0,2,49,8,40,1
Columbus,906120,4994,101,930,1917,2046,30768,5864,21189,3715
Commercial Point,1682,0,0,0,0,0,17,4,12,1
Conneaut,12536,29,0,4,3,22,250,61,174,15
Copley Township,17309,15,0,6,0,9,199,20,162,17
Cortland,6769,3,0,0,1,2,50,11,39,0
Covington,2694,0,0,0,0,0,12,2,10,0
Craig Beach,1115,2,0,1,0,1,12,2,9,1
Crestline,4405,8,0,0,0,8,39,6,32,1
Creston,2197,1,0,0,0,1,6,2,3,1
Danville,1010,1,0,0,0,1,7,2,4,1
Dayton,140427,1493,52,224,364,853,5840,1594,3465,781
Defiance,16601,29,1,14,2,12,231,24,205,2
Delhi Township,29811,24,0,7,7,10,308,36,258,14
Dennison,2596,0,0,0,0,0,7,1,6,0
Dover,12741,14,1,6,2,5,84,9,71,4
Dublin,49626,25,0,13,3,9,439,60,351,28
East Liverpool,10653,14,0,3,5,6,126,33,86,7
East Palestine,4435,9,0,2,0,7,71,19,47,5
Eaton,8136,6,0,2,2,2,229,13,209,7
Elida ,1801,0,0,0,0,0,6,2,3,1
Elyria ,53806,143,4,35,41,63,927,209,669,49
Englewood,13478,16,0,1,8,7,381,16,354,11
Euclid ,46659,256,3,28,79,146,1319,210,919,190
Fairborn,33726,96,0,29,8,59,658,138,476,44
Fairfax,1710,6,0,0,4,2,358,2,355,1
Fairfield Township,22956,29,0,4,2,23,574,30,538,6
Fairview Park,16201,10,0,0,2,8,154,6,145,3
Fayette,1242,1,0,0,0,1,16,4,11,1
Findlay,41350,128,0,54,21,53,940,114,791,35
Forest,1439,1,0,0,0,1,4,0,4,0
Forest Park,18673,55,1,22,20,12,282,43,213,26
Fort Loramie,1521,5,0,0,1,4,4,1,3,0
Fort Recovery,1456,0,0,0,0,0,7,1,6,0
Franklin,11675,34,0,13,6,15,513,57,424,32
Frazeysburg,1309,0,0,0,0,0,10,1,8,1
Fredericktown,2517,5,0,1,0,4,23,4,18,1
Gahanna,35847,53,1,11,13,28,740,53,655,32
Gallipolis,3553,10,0,4,0,6,257,45,202,10
