Crimes Reported by City  Township  Village Police Departments for 2022,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Lexington,4685,1,0,0,0,1,1,0,1,0
Liberty Township,11291,36,0,9,7,20,193,17,158,18
Lima,36233,278,3,27,36,212,1457,326,1033,98
Lisbon,2606,0,0,0,0,0,8,1,7,0
Lithopolis,2022,0,0,0,0,0,8,0,7,1
Lockland,3436,31,1,3,5,22,93,12,67,14
Lodi,2929,6,0,2,0,4,15,1,14,0
London,10360,17,0,1,1,15,78,7,66,5
Lorain ,63859,322,1,27,54,240,1259,238,912,109
Lordstown,3227,6,0,1,0,5,43,6,35,2
Loudonville,2620,5,0,3,0,2,19,3,16,0
Louisville,9390,5,0,1,1,3,120,15,100,5
Loveland,13253,7,0,2,1,4,81,8,66,7
Lynchburg,1493,0,0,0,0,0,6,2,3,1
Lyndhurst,13258,18,0,1,2,15,139,9,125,5
Macedonia,12120,10,0,2,2,6,301,6,289,6
Madeira,9340,3,0,2,0,1,93,1,88,4
Madison Township (Franklin),20118,30,0,4,3,23,153,25,102,26
Magnolia,963,3,0,1,0,2,5,2,3,0
Mansfield ,45971,232,6,43,29,154,1570,292,1160,118
Mariemont,3442,0,0,0,0,0,11,1,9,1
Marietta,13295,13,0,6,0,7,242,10,225,7
Marion,35391,83,4,35,5,39,660,151,486,23
Martins Ferry,6380,20,0,6,0,14,43,11,32,0
Marysville,25276,27,0,17,1,9,343,21,313,9
Maumee,13541,32,0,4,7,21,414,22,357,35
Mayfield Heights,18421,18,0,4,5,9,228,9,200,19
McArthur ,1612,3,0,0,1,2,38,17,21,0
McConnelsville,1714,4,0,0,0,4,41,6,32,3
Mechanicsburg,1610,7,0,1,0,6,15,2,12,1
Medina,25905,22,0,10,3,9,190,21,164,5
Mentor,47084,77,0,10,1,66,686,43,627,16
Miami Township (Clermont),43182,37,1,14,1,21,368,21,322,25
Miamisburg,20112,30,1,7,7,15,334,31,267,36
Middleport,2378,2,0,0,0,2,18,9,9,0
Middletown,48944,133,0,5,23,105,1150,187,857,106
Mifflin Township,2604,0,0,0,0,0,5,0,3,2
Milan,1337,1,0,0,1,0,8,1,7,0
Milford,6815,20,0,12,0,8,149,9,135,5
Mogadore,3794,5,0,1,0,4,48,6,34,8
Monroe,16858,19,0,4,2,13,325,9,291,25
Monroeville,1333,2,0,0,0,2,9,0,8,1
Montgomery,10943,8,0,2,0,6,123,3,112,8
Montpelier,3893,18,0,10,0,8,127,22,95,10
Montville Township,12073,4,0,0,1,3,47,6,39,2
Moraine,6518,55,1,13,7,34,453,31,375,47
Munroe Falls,5054,7,0,1,0,6,16,1,15,0
Napoleon,8088,26,0,6,0,20,134,13,118,3
Nelsonville,5094,11,1,1,1,8,75,20,50,5
New Albany,11449,10,0,4,1,5,171,14,145,12
New Boston,2103,9,0,0,0,9,88,6,80,2
New Franklin,14090,8,0,2,1,5,82,12,67,3
New Lebanon,3988,18,0,3,2,13,39,6,32,1
New Lexington,4667,16,0,2,0,14,79,14,61,4
New Washington,910,0,0,0,0,0,6,1,5,0
New Waterford,1157,0,0,0,0,0,2,0,2,0
Newark,50980,149,0,21,29,99,1473,224,1099,150
Niles,17943,56,0,9,19,28,516,72,411,33
North Canton,17084,25,0,1,0,24,313,39,257,17
North Olmsted,31224,35,0,3,10,22,566,25,497,44
North Royalton,30096,16,0,7,0,9,192,12,166,14
Northfield,3647,3,0,1,1,1,40,0,37,3
Northwood,5481,11,0,1,2,8,132,7,110,15
Norton,11894,16,0,2,4,10,207,28,164,15
Norwalk,16752,20,1,8,3,8,181,21,157,3
Norwood,19749,63,2,10,8,43,583,66,479,38
Oak Harbor,2685,5,0,2,0,3,27,1,25,1
Oberlin,8107,13,0,9,0,4,123,8,111,4
Obetz,5479,6,0,1,2,3,127,12,85,30
Olmsted Falls,9156,3,0,0,0,3,56,5,41,10
Olmsted Township,13644,3,0,0,0,3,54,10,30,14
Oregon,19986,34,0,11,3,20,880,53,790,37
Orrville,8442,16,0,9,0,7,64,9,54,1
Ottawa Hills,4541,0,0,0,0,0,44,4,27,13
Parma,77674,134,2,18,21,93,852,102,571,179
Parma Heights,19669,11,0,0,2,9,119,11,89,19
Pataskala ,16121,14,0,1,3,10,125,10,102,13
Paulding,3397,10,0,3,0,7,14,3,9,2
Payne,1126,0,0,0,0,0,16,0,16,0
Peebles,1698,6,0,0,0,6,13,11,2,0
Pepper Pike,6525,2,0,0,0,2,49,5,31,13
Perry Township (Stark),27970,76,0,14,10,52,495,107,343,45
Perrysburg,21806,6,0,6,0,0,158,8,149,1
Perrysburg Township,13072,11,0,0,1,10,114,8,99,7
Pickerington,23343,24,1,5,9,9,248,18,216,14
Pierce Township,15178,16,1,2,4,9,157,15,131,11
Pioneer,1398,2,0,0,0,2,16,1,15,0
Piqua,21531,78,0,26,8,44,623,77,508,38
Plain City,4820,3,0,0,0,3,5,0,5,0
Port Clinton,6113,15,0,5,1,9,99,20,73,6
Powell,13591,8,0,2,1,5,100,5,92,3
Powhatan Point,1493,1,0,0,0,1,1,0,1,0
Ravenna,11288,22,2,2,3,15,263,25,220,18
Reading,10928,29,0,5,3,21,292,36,235,21
Reminderville,4786,0,0,0,0,0,18,0,18,0
Richmond Heights,10332,24,0,3,1,20,208,18,149,41
Richwood,2588,5,0,2,0,3,43,4,37,2
Riverside,25168,55,1,15,12,27,410,49,293,68
Rockford Village,1104,0,0,0,0,0,2,2,0,0
Rocky River,20007,18,0,4,3,11,155,5,139,11
Ross Township,9050,5,0,0,0,5,62,11,49,2
Rutland,410,1,0,0,1,0,12,1,11,0
Sabina,2559,8,1,3,0,4,44,14,27,3
Sagamore Hills Township,10896,0,0,0,0,0,14,6,7,1
Salem,11441,16,0,2,0,14,198,21,166,11
Salineville,1203,1,0,0,0,1,15,2,12,1
Seaman,882,2,0,0,0,2,21,4,16,1
Sebring,4133,9,2,1,0,6,39,18,20,1
Seven Hills,11600,11,4,0,0,7,78,4,68,6
Shaker Heights,26772,18,1,0,12,5,198,15,157,26
Shawnee Township,12072,7,0,5,0,2,109,16,88,5
Sheffield Village,4634,2,1,0,0,1,25,1,24,0
Shelby,9042,13,0,3,0,10,131,15,113,3
Sidney,20217,61,0,23,7,31,477,116,340,21
Solon,22740,22,0,2,5,15,216,15,187,14
South Bloomfield,1997,2,0,1,0,1,27,2,23,2
South Charleston,1603,5,0,0,0,5,15,4,10,1
South Euclid,21174,43,1,6,11,25,605,29,551,25
South Zanesville,2106,3,0,0,0,3,11,0,10,1
Spencerville,2134,4,0,4,0,0,18,0,16,2
Springboro,19429,6,0,2,1,3,103,8,88,7
Springfield,58253,741,6,58,138,539,2711,549,1782,380
Springfield Township (Hamilton),35873,46,1,3,10,32,535,62,412,61
Springfield Township (Mahoning),6310,8,0,2,0,6,78,21,54,3
Springfield Township (Summit),14459,40,0,9,7,24,611,44,541,26
St. Bernard,4315,18,0,1,2,15,135,9,103,23
St. Henry,2587,0,0,0,0,0,3,1,2,0
St. Paris,2005,0,0,0,0,0,2,1,1,0
Steubenville,17482,33,2,1,6,24,619,58,546,15
Stow,34704,39,0,12,3,24,517,37,465,15
Strasburg,2697,2,0,0,0,2,8,0,8,0
Streetsboro,16769,28,0,2,3,23,273,19,240,14
Strongsville,44745,33,3,4,1,25,402,20,362,20
Sugarcreek Township,8536,9,0,2,2,5,182,10,165,7
Swanton,3841,3,0,0,0,3,29,4,25,0
Sylvania,19560,9,0,1,1,7,159,18,129,12
Sylvania Township,30078,35,1,3,10,21,664,42,557,65
Tallmadge,17532,23,0,5,1,17,201,23,157,21
Toledo,269941,3188,64,231,503,2390,8634,1548,5819,1267
Toronto,4864,8,1,3,0,4,10,0,8,2
Trotwood,24433,141,6,26,13,96,795,158,458,179
Troy,26601,31,0,3,5,23,305,73,220,12
Twinsburg,18956,21,0,2,2,17,146,12,127,7
Uhrichsville,5287,26,0,4,1,21,113,27,73,13
Union,6958,3,0,2,0,1,41,5,31,5
Uniontown,3306,4,1,1,0,2,100,8,88,4
University Heights,12638,27,0,2,5,20,133,7,109,17
Upper Arlington,35540,12,0,0,4,8,401,24,338,39
Upper Sandusky,6420,9,0,4,1,4,88,11,71,6
Urbana,11368,22,0,11,1,10,250,22,217,11
Utica,2293,3,0,0,0,3,8,2,6,0
Valley View (Cuyahoga),1992,5,0,0,1,4,25,3,14,8
Van Wert,10594,36,0,13,3,20,269,47,212,10
Wadsworth,24656,37,0,19,4,14,287,56,223,8
Wapakoneta,9664,10,0,2,0,8,191,10,176,5
Warren,38193,180,2,14,40,124,1145,287,762,96
Washington Court House,14189,24,1,7,3,13,293,24,252,17
Waterville,5605,8,0,1,1,6,32,7,25,0
Wauseon,7410,18,0,8,0,10,108,7,93,8
Weathersfield Township,7941,9,0,1,0,8,128,17,106,5
Wellston,5519,16,2,1,0,13,122,16,93,13
West Carrollton,12821,31,0,6,1,24,249,30,148,71
West Chester Township,63211,69,2,11,17,39,1095,105,929,61
West Jefferson,4508,10,0,1,0,9,60,9,43,8
Westerville,41985,61,0,13,11,37,809,67,676,66
Westlake,32035,16,0,2,2,12,214,30,159,25
Whitehall,18985,176,1,25,49,101,1248,119,992,137
Whitehouse,5020,2,0,0,1,1,16,0,16,0
Wickliffe,12725,13,0,0,1,12,155,14,127,14
Willoughby,23039,48,1,11,10,26,305,21,256,28
Willowick,14056,9,0,0,1,8,42,5,36,1
Wintersville,3619,9,0,2,0,7,38,1,35,2
Woodsfield,2185,4,2,0,0,2,3,1,1,1
Woodville,1996,3,0,0,0,3,16,2,14,0
Wooster,26160,76,2,26,10,38,662,67,563,32
Worthington,14884,16,0,1,4,11,255,16,209,30
Wyoming,8564,2,0,0,0,2,51,6,37,8
Xenia,27228,51,0,24,2,25,512,58,405,49
Yellow Springs,3787,2,0,0,0,2,59,6,49,4
Youngstown,63538,429,18,36,61,314,1759,452,1031,276
Zanesville,25166,90,0,18,15,57,949,85,824,40
