Crimes Reported by City  Township  Village Police Departments for 2022,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Akron,195701,1729,43,233,208,1245,7404,1134,5186,1084
Alliance ,21328,74,0,3,2,69,589,72,482,35
American Township,11989,22,0,2,0,20,186,24,159,3
Amherst ,12425,1,0,0,0,1,101,5,95,1
Andover,1083,3,0,0,0,3,11,1,10,0
Apple Creek,1187,1,0,1,0,0,9,3,6,0
Archbold,4286,8,0,2,0,6,62,9,53,0
Ashland,19919,24,0,10,4,10,279,25,242,12
Ashville,4510,10,0,3,0,7,59,4,54,1
Athens,24638,43,0,10,5,28,561,69,445,47
Aurora,16568,6,0,1,2,3,102,2,93,7
Austintown Township,34472,40,2,4,6,28,650,54,544,52
Avon Lake,25040,19,0,1,2,16,116,10,95,11
Baltimore,3030,1,0,0,0,1,5,3,2,0
Barberton,25746,93,0,24,9,60,654,92,525,37
Barnesville,3925,1,0,1,0,0,11,3,8,0
Batavia,1973,1,0,0,0,1,27,1,25,1
Bath Township (Summit),9606,1,0,0,0,1,183,6,176,1
Bay Village ,15154,8,0,0,0,8,52,3,42,7
Bazetta Township,5454,4,0,0,3,1,142,4,136,2
Beachwood,11580,28,0,5,6,17,580,16,513,51
Beaver Township,6321,6,0,0,0,6,78,21,55,2
Beavercreek,48282,50,0,17,11,22,777,37,694,46
Bedford Heights,10430,48,1,0,10,37,293,12,183,98
Bellaire,3927,11,0,1,0,10,24,7,14,3
Bellbrook,7426,6,0,3,0,3,46,5,40,1
Bellefontaine,13131,17,0,7,0,10,113,8,104,1
Bellville,1937,1,0,0,0,1,24,4,16,4
Belpre,6348,12,0,3,0,9,70,5,59,6
Berea ,18563,9,0,0,2,7,103,9,72,22
Beverly,1339,2,0,2,0,0,15,3,12,0
Blanchester,4257,7,0,3,0,4,119,30,81,8
Blendon Township,7994,11,0,0,4,7,126,10,75,41
Blue Ash,12525,16,0,8,2,6,285,9,261,15
Bluffton ,4002,2,0,1,0,1,24,7,14,3
Boardman Township,38377,92,1,21,30,40,1461,145,1252,64
Botkins ,1159,1,0,1,0,0,9,1,7,1
Bowling Green,31537,29,0,8,1,20,415,27,378,10
Bratenahl,1156,1,0,0,0,1,10,3,2,5
Brecksville,13611,4,0,0,1,3,53,1,51,1
Brewster,2141,4,0,0,0,4,26,9,17,0
Bridgeport,1691,0,0,0,0,0,5,1,4,0
Brimfield Township,10328,8,0,1,2,5,241,9,222,10
Broadview Heights ,19188,3,0,0,0,3,29,2,26,1
Brunswick,35132,44,1,1,0,42,213,14,178,21
Buckeye Lake,2908,8,0,1,0,7,45,10,32,3
Bucyrus,11676,36,1,9,5,21,226,29,188,9
Butler Township,7835,19,0,5,5,9,498,51,416,31
Byesville,2336,9,0,0,1,8,26,1,24,1
Cambridge,10279,15,0,5,0,10,78,6,71,1
Canal Fulton,5396,7,0,2,1,4,44,10,33,1
Canfield,7104,1,0,1,0,0,33,3,26,4
Canton,69623,962,12,160,138,652,4271,753,2861,657
Cardington,2079,2,0,1,0,1,4,0,3,1
Carroll Township,2067,1,0,1,0,0,12,1,11,0
Carrollton,2995,9,0,2,0,7,30,3,25,2
Centerville (Montgomery),23669,14,0,4,1,9,266,23,228,15
Chagrin Falls,3921,2,0,1,0,1,46,2,36,8
Chesapeake ,692,0,0,0,0,0,3,0,3,0
Cheviot ,8164,21,0,4,0,17,233,43,156,34
Cincinnati,305308,2665,73,268,648,1676,11765,1895,7725,2145
Circleville,14226,37,1,18,4,14,414,57,341,16
Clayton,13232,17,0,6,2,9,131,15,89,27
Clearcreek Township,16724,9,0,2,0,7,79,7,66,6
Cleveland ,379313,6487,145,462,1754,4126,19111,3395,11136,4580
Cleveland Heights,43608,125,1,16,42,66,571,86,390,95
Clinton Township,4096,2,0,0,0,2,62,1,60,1
Coldwater,4577,3,0,3,0,0,24,0,24,0
Colerain Township,59223,102,0,19,21,62,1295,121,1083,91
Columbiana,6276,1,0,0,0,1,31,4,23,4
Columbus,916001,4554,132,1026,1316,2080,32745,4408,20664,7673
Commercial Point,1704,5,0,0,0,5,47,9,33,5
Copley Township,17233,22,0,5,5,12,192,17,168,7
Cortland,6702,4,0,0,0,4,37,5,32,0
Covington,2730,0,0,0,0,0,1,0,1,0
Crestline,4382,7,0,2,0,5,32,5,25,2
Cuyahoga Falls,48949,82,2,16,10,54,982,95,817,70
Danville,1011,1,0,1,0,0,2,2,0,0
Dayton,139671,1664,32,204,268,1160,6008,1376,3148,1484
Defiance,16415,57,0,27,2,28,213,20,182,11
Delaware,43469,69,0,29,4,36,451,28,399,24
Delhi Township,29785,25,0,8,6,11,375,25,320,30
Delphos ,6873,12,0,7,0,5,47,4,38,5
Delta,3085,7,0,0,1,6,20,1,18,1
Dover,12676,18,0,8,1,9,61,11,43,7
Dublin,50236,43,0,15,11,17,567,36,456,75
East Canton,1567,2,0,1,0,1,51,8,37,6
East Cleveland,16810,152,5,5,27,115,317,60,150,107
East Palestine,4350,3,1,1,0,1,56,8,46,2
Eaton,8098,9,1,6,0,2,118,2,104,12
Elida ,1803,0,0,0,0,0,10,0,10,0
Elyria ,53809,118,8,24,32,54,1024,165,771,88
Englewood,13507,33,0,11,7,15,331,16,298,17
Evendale,2707,2,0,0,0,2,160,9,142,9
Fairborn,34076,100,0,36,7,57,450,77,325,48
Fairfax,1702,3,0,0,2,1,231,4,227,0
Fairlawn,7515,5,1,0,3,1,356,4,340,12
Fairview Park,16072,16,0,4,4,8,128,10,100,18
Fayette,1227,2,0,1,0,1,9,1,7,1
Findlay,40803,73,1,27,13,32,722,95,598,29
Forest,1442,0,0,0,0,0,5,3,2,0
Forest Park,18518,74,1,7,23,43,395,41,273,81
Fort Recovery,1471,1,0,1,0,0,13,1,11,1
Franklin,11628,41,0,11,2,28,396,39,334,23
Franklin Township,9741,0,0,0,0,0,12,1,9,2
Frazeysburg,1316,1,0,0,0,1,8,1,7,0
Fredericktown,2529,0,0,0,0,0,25,3,22,0
Gahanna,35765,87,0,20,9,58,860,56,698,106
Galion,9865,19,0,6,1,12,106,16,85,5
Garfield Heights,27296,148,8,23,14,103,577,84,413,80
Garrettsville,2316,6,0,0,0,6,11,2,6,3
Gates Mills,2213,0,0,0,0,0,3,1,2,0
Germantown,5570,21,0,6,0,15,39,6,29,4
Goshen Township (Clermont),16498,28,0,3,1,24,115,25,85,5
Goshen Township (Mahoning),3079,9,0,2,0,7,79,14,61,4
Grafton,5920,0,0,0,0,0,16,0,16,0
Grandview Heights,9395,9,0,0,1,8,194,13,169,12
Granville,5842,6,0,5,0,1,37,4,32,1
Green Township,59115,67,2,11,12,42,1018,128,818,72
Greenfield,4556,10,0,6,0,4,23,4,15,4
Greenhills,3548,8,0,1,0,7,45,6,37,2
Grove City,42992,76,0,18,19,39,1090,53,956,81
Groveport,5642,13,1,2,3,7,119,10,88,21
Hamilton Township (Warren),24711,7,0,1,0,6,81,4,72,5
Hartville,3101,3,0,0,1,2,45,7,37,1
Harveysburg,571,0,0,0,0,0,1,0,1,0
Heath,11111,18,0,5,2,11,497,92,384,21
Hebron,2513,4,0,1,1,2,43,6,32,5
Highland Heights,8389,3,0,1,1,1,70,2,67,1
Hilliard,37776,62,1,7,13,41,404,39,318,47
Hillsboro,6576,6,0,2,0,4,162,20,134,8
Holland,1682,6,0,1,3,2,385,9,371,5
Howland Township,16220,16,0,1,1,14,231,30,179,22
Hubbard,7320,15,0,3,1,11,68,6,61,1
Hubbard Township,5241,6,0,0,0,6,59,10,43,6
Huber Heights,38244,81,1,30,12,38,861,77,663,121
Hudson,22170,6,0,2,0,4,98,10,86,2
Hunting Valley,722,0,0,0,0,0,0,0,0,0
Independence,7244,17,0,4,6,7,119,0,105,14
Ironton ,10354,18,0,2,4,12,63,17,39,7
Jackson,6224,21,0,5,0,16,112,10,96,6
Jackson Township (Mahoning),1993,2,0,1,0,1,20,3,14,3
Jackson Township (Montgomery),3685,0,0,0,0,0,15,3,10,2
Jackson Township (Stark),40215,71,1,25,13,32,1036,104,878,54
Jamestown ,2157,0,0,0,0,0,20,3,14,3
Kent ,29364,44,0,0,5,39,360,51,280,29
Kenton,8204,32,0,9,1,22,223,23,191,9
Kettering,54639,30,0,12,6,12,836,89,655,92
Kirtland,6787,1,0,0,0,1,8,2,6,0
Lakemore,3060,15,0,3,0,12,83,14,67,2
Lakewood,49404,64,0,5,25,34,681,72,501,108
Lancaster ,41152,111,0,22,19,70,912,111,742,59
Lawrence Township,8275,11,0,4,0,7,49,8,35,6
Lebanon,20826,32,0,10,0,22,315,13,277,25
Leesburg ,1322,2,0,2,0,0,17,1,15,1
