Crimes Reported by City  Township  Village Police Departments for 2021,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Akron,195701,1895,43,206,246,1400,7570,1406,4985,1179
Alliance ,21328,99,0,8,3,88,502,70,406,26
Amberley Village,3538,1,0,0,0,1,31,6,22,3
Amherst ,12425,5,0,1,0,4,107,6,100,1
Apple Creek,1187,1,0,1,0,0,6,2,4,0
Archbold,4286,4,0,0,0,4,74,10,61,3
Ashland,19919,25,1,9,2,13,245,27,207,11
Ashley,1674,2,0,0,1,1,13,3,10,0
Ashville,4510,3,0,1,0,2,35,7,24,4
Athens,24638,33,0,4,2,27,559,88,446,25
Aurora,16568,5,0,1,1,3,128,8,111,9
Austintown Township,34472,48,1,11,6,30,636,84,524,28
Avon Lake,25040,11,3,2,0,6,118,9,83,26
Bainbridge Township (Geauga),11395,2,0,2,0,0,295,2,289,4
Barberton,25746,78,0,23,14,41,691,103,545,43
Barnesville,3925,1,0,0,0,1,4,1,3,0
Bath Township (Summit),9606,5,0,1,2,2,141,5,134,2
Bay Village ,15154,5,0,1,0,4,73,3,62,8
Bazetta Township,5454,6,0,1,0,5,199,4,191,4
Beachwood,11580,35,1,1,13,20,393,16,353,24
Beaver Township,6321,4,1,2,0,1,81,14,60,7
Beavercreek,48282,26,1,11,7,7,642,39,569,34
Bedford,12386,14,0,0,1,13,176,26,91,59
Bedford Heights,10430,42,1,0,10,31,216,29,160,27
Bellaire,3927,4,0,0,1,3,21,4,17,0
Bellbrook,7426,0,0,0,0,0,40,6,34,0
Bellefontaine,13131,20,0,6,2,12,172,11,152,9
Bellville,1937,0,0,0,0,0,13,2,11,0
Belpre,6348,6,1,0,1,4,108,9,92,7
Berea ,18563,7,0,0,1,6,83,6,70,7
Bexley,13822,32,0,5,11,16,405,70,306,29
Blanchester,4257,4,0,1,0,3,99,11,87,1
Blue Ash,12525,22,0,5,3,14,202,17,165,20
Boardman Township,38377,69,0,21,19,29,1432,157,1189,86
Boston Heights,1311,1,0,0,0,1,1,0,1,0
Botkins ,1159,3,0,0,0,3,12,1,10,1
Bowling Green,31537,34,2,10,4,18,445,19,418,8
Bratenahl,1156,4,0,0,0,4,6,2,4,0
Brecksville,13611,2,0,0,0,2,24,0,24,0
Brewster,2141,5,0,1,0,4,14,2,11,1
Brimfield Township,10328,6,0,4,1,1,384,11,358,15
Brookfield Township,8287,11,0,4,2,5,137,21,115,1
Brooklyn ,10648,19,1,0,7,11,571,34,495,42
Brunswick Hills Township,10621,0,0,0,0,0,36,5,30,1
Bucyrus,11676,16,0,6,3,7,280,37,229,14
Butler Township,7835,38,0,8,5,25,519,20,466,33
Byesville,2336,0,0,0,0,0,13,1,12,0
Cambridge,10279,10,0,4,0,6,92,15,77,0
Canal Fulton,5396,2,0,1,1,0,76,26,48,2
Canfield,7104,3,0,2,0,1,33,2,30,1
Canton,69623,1129,17,118,134,860,3824,922,2430,472
Carroll Township,2067,0,0,0,0,0,20,5,14,1
Cedarville,4364,3,0,0,0,3,12,2,9,1
Centerville (Montgomery),23669,18,0,2,5,11,267,18,234,15
Chagrin Falls,3921,4,0,0,0,4,38,2,31,5
Chardon ,5138,0,0,0,0,0,58,2,50,6
Chesapeake ,692,0,0,0,0,0,2,0,2,0
Cheviot ,8164,31,1,4,7,19,226,24,166,36
Chillicothe,21622,49,0,18,11,20,1044,87,898,59
Cincinnati,305308,2667,93,247,641,1686,10432,1797,7021,1614
Circleville,14226,30,1,8,4,17,467,80,364,23
Clay Township (Montgomery),4242,0,0,0,0,0,9,3,6,0
Clayton,13232,14,0,3,6,5,128,18,101,9
Clearcreek Township,16724,0,0,0,0,0,43,5,33,5
Cleveland ,379313,7083,167,492,1671,4753,18004,3530,10886,3588
Cleveland Heights,43608,152,4,17,35,96,593,94,397,102
Coitsville Township,1306,1,0,0,0,1,9,4,5,0
Coldwater,4577,1,0,1,0,0,14,2,12,0
Colerain Township,59223,100,0,12,15,73,1009,103,791,115
Columbiana,6276,6,0,1,0,5,27,5,21,1
Columbus,916001,6152,207,918,2072,2955,30930,4968,21189,4773
Commercial Point,1704,8,0,4,0,4,22,3,18,1
Conneaut,12180,21,0,3,0,18,134,34,95,5
Copley Township,17233,20,0,2,2,16,218,16,191,11
Cortland,6702,2,0,0,0,2,39,4,35,0
Covington,2730,0,0,0,0,0,4,2,2,0
Crestline,4382,5,0,1,0,4,19,2,15,2
Danville,1011,6,0,2,0,4,4,1,3,0
Dayton,139671,1516,30,153,256,1077,5214,1337,3061,816
Defiance,16415,43,0,20,5,18,222,26,194,2
Delhi Township,29785,15,0,4,1,10,248,21,205,22
Delphos ,6873,13,0,2,1,10,42,7,34,1
Delta,3085,7,0,4,0,3,11,2,9,0
Dover,12676,15,0,4,0,11,75,7,63,5
Dublin,50236,42,0,8,9,25,422,41,344,37
East Canton,1567,0,0,0,0,0,4,1,2,1
East Liverpool,10430,13,0,2,2,9,143,15,123,5
East Palestine,4350,8,0,3,0,5,53,11,38,4
Eaton,8098,12,0,3,0,9,112,11,94,7
Elida ,1803,0,0,0,0,0,5,0,4,1
Elyria ,53809,149,3,26,30,90,763,147,546,70
Englewood,13507,21,0,4,3,14,299,19,275,5
Fairborn,34076,73,0,15,8,50,480,87,353,40
Fairfax,1702,3,0,0,1,2,120,4,113,3
Fairview Park,16072,23,0,2,3,18,106,11,80,15
Fayette,1227,1,0,1,0,0,11,3,8,0
Findlay,40803,109,0,38,10,61,783,94,643,46
Forest Park,18518,54,3,12,16,23,340,40,254,46
Fort Recovery,1471,1,0,0,0,1,4,0,4,0
Frazeysburg,1316,0,0,0,0,0,8,1,7,0
Fredericktown,2529,0,0,0,0,0,14,1,13,0
Gahanna,35765,92,3,21,12,56,692,65,582,45
Galion,9865,23,0,6,1,16,92,18,70,4
Garfield Heights,27296,170,8,21,40,101,489,98,354,37
Garrettsville,2316,5,0,2,0,3,17,2,15,0
Gates Mills,2213,1,0,1,0,0,9,4,5,0
Georgetown,4189,10,1,2,1,6,73,12,57,4
Germantown,5570,10,0,6,0,4,32,3,27,2
Goshen Township (Mahoning),3079,8,0,0,0,8,53,6,42,5
Grafton,5920,2,0,0,1,1,22,0,20,2
Grandview Heights,9395,8,0,2,2,4,167,18,133,16
Green Township,59115,57,1,12,7,37,796,79,653,64
Greenhills,3548,5,0,2,1,2,19,1,16,2
Grove City,42992,63,2,19,27,15,1067,78,912,77
Groveport,5642,22,0,4,1,17,138,2,119,17
Hamilton,62132,490,5,35,64,386,2013,370,1416,227
Hamilton Township (Warren),24711,7,0,3,0,4,60,4,53,3
Harveysburg,571,0,0,0,0,0,7,1,6,0
Heath,11111,19,0,7,3,9,481,82,380,19
Hebron,2513,6,0,3,1,2,54,3,46,5
Highland Heights,8389,1,0,1,0,0,74,10,63,1
Hilliard,37776,37,0,10,9,18,389,32,323,34
Hillsboro,6576,3,0,1,0,2,93,9,73,11
Holland,1682,4,0,0,2,2,488,6,478,4
Howland Township,16220,20,0,3,1,16,187,15,158,14
Hubbard,7320,17,0,2,1,14,69,11,56,2
Hubbard Township,5241,6,1,0,0,5,56,12,41,3
Huber Heights,38244,88,1,33,7,47,747,97,557,93
Hudson,22170,5,0,3,0,2,132,4,122,6
Hunting Valley,722,0,0,0,0,0,0,0,0,0
Huron ,6794,8,0,3,0,5,60,10,46,4
Independence,7244,15,0,1,6,8,157,8,138,11
Ironton ,10354,14,0,4,2,8,77,27,45,5
Jackson,6224,9,0,3,0,6,177,53,113,11
Jackson Township (Mahoning),1993,1,0,0,1,0,16,1,15,0
Jackson Township (Montgomery),3685,1,0,1,0,0,16,6,10,0
Jackson Township (Stark),40215,92,2,24,23,43,900,166,683,51
