Crimes Reported by City  Township  Village Police Departments for 2021,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Jamestown ,2157,2,0,1,0,1,48,16,29,3
Kent ,29364,28,0,0,6,22,359,56,280,23
Lakemore,3060,8,0,1,4,3,99,17,73,9
Lakewood,49404,72,1,3,35,33,574,83,433,58
Lawrence Township,8275,4,0,0,0,4,36,14,18,4
Lebanon,20826,36,1,10,5,20,306,30,256,20
Leesburg ,1322,4,0,3,0,1,18,9,8,1
Lexington,4685,2,1,0,0,1,11,2,9,0
Liberty Township,11291,40,0,7,2,31,157,28,120,9
Lima,36233,296,2,43,33,218,1326,273,937,116
Lisbon,2606,3,0,0,0,3,15,2,12,1
Lithopolis,2022,4,0,2,0,2,15,2,9,4
Lockland,3436,27,1,0,8,18,97,16,64,17
Lodi,2929,8,0,8,0,0,11,2,9,0
London,10360,17,0,2,0,15,143,6,128,9
Lorain ,63859,355,9,24,66,256,1293,277,920,96
Lordstown,3227,7,0,0,0,7,32,8,22,2
Louisville,9390,6,0,0,0,6,71,6,62,3
Loveland,13253,9,0,5,0,4,88,6,79,3
Lynchburg,1493,3,0,1,0,2,4,0,4,0
Lyndhurst,13258,17,0,1,5,11,156,11,135,10
Macedonia,12120,17,0,6,2,9,208,10,186,12
Madeira,9340,1,0,0,0,1,37,0,28,9
Madison Township (Franklin),20118,31,2,1,3,25,189,22,127,40
Magnolia,963,2,0,1,1,0,9,4,5,0
Mansfield ,45971,222,0,48,44,130,1673,338,1229,106
Maple Heights,21888,69,5,6,30,28,256,53,101,102
Marion,35391,93,3,30,22,38,669,142,465,62
Marysville,25276,31,0,14,2,15,338,30,289,19
Massillon ,32679,69,0,28,8,33,641,97,510,34
Maumee,13541,30,0,10,4,16,405,13,372,20
Mayfield Heights,18421,22,1,2,3,16,141,13,125,3
McConnelsville,1714,1,0,0,0,1,16,5,10,1
Mechanicsburg,1610,2,0,2,0,0,19,0,17,2
Medina,25905,16,1,6,2,7,247,56,181,10
Medina Township,9176,7,0,1,4,2,97,3,87,7
Mentor,47084,69,0,12,6,51,570,37,505,28
Mentor-On-The-Lake,7372,11,0,4,1,6,58,6,48,4
Miami Township (Clermont),43182,26,1,14,0,11,379,27,331,21
Miami Township (Montgomery),29213,50,0,20,3,27,727,69,602,56
Miamisburg,20112,43,0,17,3,23,344,39,266,39
Middlefield,2690,2,0,0,0,2,15,1,14,0
Middleport,2378,0,0,0,0,0,10,6,4,0
Middletown,48944,161,4,20,20,117,1552,212,1170,170
Milan,1337,1,0,1,0,0,11,4,7,0
Milford,6815,10,0,2,0,8,126,4,116,6
Millersport,1084,1,0,1,0,0,7,2,5,0
Milton Township,2395,0,0,0,0,0,17,3,14,0
Minster,2830,4,0,0,0,4,4,0,4,0
Monroe,16858,30,0,8,4,18,318,16,272,30
Montgomery,10943,9,0,2,1,6,99,7,78,14
Montpelier,3893,17,0,7,0,10,133,18,106,9
Montville Township,12073,7,0,2,0,5,61,7,51,3
Moraine,6518,62,0,9,12,41,416,43,339,34
Mount Orab,3397,7,0,0,0,7,77,2,71,4
Mount Vernon,16625,12,0,2,1,9,138,19,115,4
Munroe Falls,5054,1,0,0,1,0,23,6,16,1
Napoleon,8088,15,0,8,0,7,152,29,116,7
Navarre,1788,2,0,0,1,1,70,58,12,0
New Albany,11449,8,0,3,2,3,140,11,117,12
New Bremen,2944,0,0,0,0,0,20,2,17,1
New Franklin,14090,15,0,3,0,12,105,18,79,8
New Lebanon,3988,8,0,3,0,5,25,7,18,0
New Lexington,4667,20,0,9,2,9,93,19,66,8
New Waterford,1157,1,0,0,0,1,5,1,4,0
Newark,50980,146,0,33,20,93,1845,278,1375,192
Newton Falls,4413,7,0,0,0,7,30,4,26,0
Niles,17943,38,0,11,6,21,488,66,393,29
North Baltimore,3569,0,0,0,0,0,23,4,19,0
North Canton,17084,31,1,7,0,23,338,43,267,28
North Olmsted,31224,61,0,7,8,46,366,19,306,41
North Ridgeville,35708,23,0,5,5,13,141,21,113,7
Northfield,3647,2,0,1,0,1,52,3,47,2
Northwood,5481,16,1,8,2,5,155,17,119,19
Norton,11894,13,0,1,2,10,243,41,179,23
Norwalk,16752,16,0,4,1,11,183,15,161,7
Oak Harbor,2685,0,0,0,0,0,25,6,18,1
Oberlin,8107,8,1,1,3,3,114,16,91,7
Obetz,5479,14,0,5,1,8,214,12,157,45
Olmsted Falls,9156,14,0,0,1,13,36,8,25,3
Olmsted Township,13644,4,0,1,0,3,16,2,12,2
Ontario,6089,4,0,0,0,4,209,9,196,4
Oregon,19986,39,1,10,3,25,606,59,518,29
Orrville,8442,17,1,1,0,15,88,16,70,2
Ottawa Hills,4541,2,0,0,0,2,31,2,24,5
Oxford,23732,32,0,5,5,22,326,49,256,21
Parma,77674,169,4,28,19,118,681,101,482,98
Parma Heights,19669,30,0,1,2,27,162,24,121,17
Pataskala ,16121,10,1,1,2,6,145,21,110,14
Peebles,1698,1,0,0,0,1,10,10,0,0
Peninsula,549,0,0,0,0,0,6,4,2,0
Pepper Pike,6525,1,0,0,0,1,35,5,26,4
Perry Township (Franklin),3756,1,0,0,1,0,41,5,35,1
Perry Township (Stark),27970,75,0,18,7,50,530,106,382,42
Perry Village,1622,2,0,0,0,2,8,2,6,0
Perrysburg,21806,12,0,5,1,6,180,11,165,4
Perrysburg Township,13072,5,0,0,1,4,118,15,97,6
Pickerington,23343,16,0,4,6,6,231,21,192,18
Pierce Township,15178,17,1,7,2,7,156,19,129,8
Pioneer,1398,0,0,0,0,0,12,2,10,0
Piqua,21531,75,0,31,5,39,655,77,551,27
Plain City,4820,1,0,0,0,1,8,1,7,0
Poland Township,11703,6,0,4,1,1,51,4,45,2
Port Clinton,6113,17,0,3,2,12,81,9,66,6
Portsmouth,19702,138,2,22,21,93,854,163,602,89
Powell,13591,9,0,2,1,6,100,7,87,6
Powhatan Point,1493,0,0,0,0,0,1,0,1,0
Racine ,651,0,0,0,0,0,0,0,0,0
Ravenna,11288,33,2,6,6,19,286,44,232,10
Reading,10928,34,0,3,4,27,241,34,183,24
Reminderville,4786,1,0,0,0,1,8,0,8,0
Reynoldsburg,38623,178,1,22,60,95,998,97,805,96
Richmond Heights,10332,51,1,0,3,47,150,19,106,25
Richwood,2588,3,1,1,0,1,23,2,21,0
Riverside,25168,66,5,16,8,37,396,54,261,81
Rockford Village,1104,0,0,0,0,0,2,2,0,0
Rocky River,20007,9,0,2,1,6,89,8,67,14
Ross Township,9050,15,0,2,2,11,69,2,60,7
Russells Point,1377,3,0,2,0,1,11,2,9,0
Sagamore Hills Township,10896,0,0,0,0,0,12,2,10,0
Salem,11441,20,1,3,0,16,216,16,192,8
Sandusky,24172,41,3,17,6,15,662,147,479,36
Seaman,882,2,0,1,0,1,23,12,7,4
Sebring,4133,8,0,2,1,5,60,23,36,1
Seven Hills,11600,4,0,0,0,4,78,6,63,9
Shawnee Township,12072,12,0,5,0,7,118,16,94,8
Sheffield Lake,8930,10,0,5,1,4,54,5,47,2
Shelby,9042,32,1,13,4,14,136,28,106,2
Sidney,20217,48,3,17,3,25,469,55,391,23
Solon,22740,35,1,7,3,24,172,12,154,6
South Bloomfield,1997,3,0,0,1,2,20,1,18,1
South Charleston,1603,3,0,0,0,3,13,3,9,1
South Euclid,21174,49,2,2,9,36,465,37,382,46
South Zanesville,2106,0,0,0,0,0,5,2,3,0
Spencerville,2134,2,0,0,0,2,13,1,11,1
Springboro,19429,3,0,2,0,1,86,12,65,9
Springfield,58253,704,5,49,133,517,2381,467,1598,316
Springfield Township (Hamilton),35873,76,0,2,14,60,433,59,325,49
Springfield Township (Mahoning),6310,5,0,2,0,3,57,12,43,2
Springfield Township (Summit),14459,55,0,9,4,42,693,61,592,40
St. Clair Township,7365,5,0,0,0,5,117,1,116,0
St. Henry,2587,0,0,0,0,0,6,1,5,0
St. Marys,8094,3,0,0,0,3,63,15,44,4
Steubenville,17482,31,2,2,5,22,604,48,542,14
Strasburg,2697,0,0,0,0,0,22,2,20,0
Streetsboro,16769,25,0,3,2,20,263,16,229,18
Strongsville,44745,60,0,7,3,50,427,21,381,25
Sugarcreek Township,8536,5,0,2,1,2,105,9,87,9
Swanton,3841,2,0,1,1,0,42,6,36,0
Sylvania,19560,15,0,5,5,5,143,11,122,10
Sylvania Township,30078,36,1,4,4,27,638,32,567,39
Tallmadge,17532,22,0,6,3,13,355,54,265,36
Tiffin,17308,17,0,9,2,6,270,24,242,4
Tipp City ,10217,3,0,0,2,1,126,7,108,11
Toledo,269941,3071,71,213,458,2329,8120,1479,5346,1295
Trotwood,24433,152,2,27,24,99,686,137,434,115
Troy,26601,20,0,4,2,14,363,52,291,20
Twinsburg,18956,7,0,3,0,4,131,8,115,8
Uhrichsville,5287,9,0,2,0,7,51,20,27,4
Uniontown,3306,4,0,0,0,4,106,14,85,7
University Heights,12638,51,1,4,7,39,141,14,118,9
Upper Arlington,35540,13,1,1,8,3,306,31,248,27
Upper Sandusky,6420,12,0,6,0,6,106,7,97,2
Urbana,11368,34,0,8,3,23,229,25,197,7
Utica,2293,7,0,1,0,6,5,2,3,0
Valley View (Cuyahoga),1992,2,0,0,1,1,8,0,5,3
Van Wert,10594,38,0,12,1,25,304,56,244,4
Vandalia,14960,19,0,12,3,4,261,39,182,40
Vienna Township,3747,3,0,1,0,2,45,7,31,7
Wadsworth,24656,36,0,8,3,25,318,29,282,7
Walton Hills,2269,4,0,0,1,3,11,1,8,2
Wapakoneta,9664,9,0,1,1,7,117,7,106,4
Warren,38193,195,5,30,32,128,1063,250,730,83
Warren Township,5113,14,0,1,2,11,49,8,34,7
Washington Court House,14189,30,1,9,2,18,353,32,294,27
Waterville,5605,2,0,0,0,2,30,3,26,1
Wauseon,7410,12,0,6,1,5,134,9,116,9
Waynesville,3297,1,0,1,0,0,5,1,4,0
Weathersfield Township,7941,11,0,4,1,6,120,16,88,16
West Carrollton,12821,41,0,11,4,26,301,40,194,67
West Chester Township,63211,85,1,27,15,42,1131,103,956,72
West Jefferson,4508,11,3,4,0,4,68,4,62,2
Westerville,41985,67,1,7,19,40,632,52,548,32
Whitehall,18985,221,1,20,73,127,992,142,756,94
Whitehouse,5020,5,0,2,0,3,17,2,15,0
Wickliffe,12725,21,0,3,0,18,144,16,113,15
Willowick,14056,7,0,0,1,6,41,2,38,1
Wilmington,12385,46,2,7,3,34,286,41,230,15
Woodlawn,3402,4,0,1,1,2,90,12,66,12
Woodsfield,2185,7,0,2,0,5,3,1,2,0
Woodville,1996,3,0,1,0,2,11,0,9,2
Wooster,26160,79,0,33,4,42,798,105,644,49
Worthington,14884,13,0,1,7,5,352,29,304,19
Xenia,27228,58,0,20,11,27,483,65,402,16
Yellow Springs,3787,5,0,0,0,5,63,10,51,2
Youngstown,63538,511,27,57,74,353,1578,413,986,179
Zanesville,25166,125,4,26,19,76,887,92,745,50
